Time(ms)
217
217
216
217
213
226
219
213
216
214
216
214
216
216
214
217
215
217
214
215
222
214
216
215
217
215
216
217
215
216
214
216
216
216
217
215
217
214
217
214
216
214
215
219
220
215
215
215
216
215
