Run#,f best
11,[-21.3487 -21.3487 -21.3487 -21.3996 -21.3996 -22.1499 -22.1537 -23.5423 -24.4757 -24.8161 -25.0528 -25.8924 -25.8924 -25.8924 -26.5313 -27.1203 -27.9648 -27.9648 -28.2079 -28.5616 -29.5037 -29.5037 -29.5037 -30.7434 -30.7434 -30.7434 -31.1977 -31.1977 -31.5902 -31.8258 -31.8258 -32.17 -32.6251 -32.6251 -32.7436 -32.9538 -32.9538 -32.9538 -33.2181 -33.4532 -33.6164 -33.6164 -33.6164 -33.704 -33.704 -34.0578 -34.5279 -34.5666 -34.7338 -34.8807 -35.0657 -35.0657 -35.3732 -35.8787 -36.0401 -36.0401 -36.0401 -36.2074 -36.2074 -36.2074 -36.2175 -36.3848 -36.3848 -36.6738 -36.6738 -36.6738 -36.7439 -36.7439 -36.7439 -36.7439 -36.8774 -36.8774 -36.8774 -37.0754 -37.0754 -37.1698 -37.2374 -37.3201 -37.3201 -37.3201 -37.4231 -37.4231 -37.4231 -37.4231 -37.5382 -37.5382 -37.6678 -37.6678 -37.6678 -37.8658 -37.8658 -37.8658 -37.9996 -37.9996 -37.9996 -37.9996 -37.9996 -37.9996 -37.9996 -37.9996 ]
12,[-21.4446 -21.4446 -21.4446 -22.3276 -22.4385 -23.0583 -23.0583 -23.7766 -24.6608 -26.1299 -26.1299 -26.1299 -26.3954 -26.8127 -27.4063 -27.5331 -27.7452 -28.1641 -28.9742 -29.4321 -29.4321 -29.9714 -30.3703 -31.0865 -31.122 -31.4118 -31.5652 -32.2482 -32.2482 -32.2482 -32.7737 -33.1581 -33.5456 -33.5711 -33.9324 -34.2985 -34.2985 -34.3696 -34.8819 -34.8819 -35.1982 -35.1982 -35.1982 -35.984 -35.984 -35.984 -36.0733 -36.3536 -36.3536 -36.3536 -36.3536 -36.3536 -36.3536 -36.3536 -36.387 -36.387 -36.387 -36.387 -36.7006 -36.7006 -36.7006 -36.7006 -36.7006 -36.7006 -36.7006 -36.824 -36.824 -36.824 -36.824 -36.824 -36.843 -36.8764 -37.051 -37.171 -37.171 -37.2044 -37.2044 -37.2044 -37.2044 -37.3006 -37.3109 -37.3109 -37.4451 -37.4451 -37.4451 -37.4451 -37.4451 -37.4451 -37.4451 -37.4451 -37.4544 -37.5593 -37.5998 -37.5998 -37.5998 -37.6952 -37.7362 -37.7362 -37.7675 -37.9297 ]
13,[-19.8592 -19.8592 -19.8778 -19.9326 -22.182 -22.182 -23.3069 -23.3069 -23.4662 -24.3075 -24.3075 -24.6298 -25.2686 -26.0012 -26.0361 -27.0161 -27.0161 -27.3212 -27.6614 -27.7175 -28.0513 -29.0012 -30.132 -30.132 -30.132 -30.2471 -31.2417 -31.2417 -31.5762 -31.5762 -32.7224 -32.7224 -32.7224 -32.7224 -33.4009 -33.4009 -33.4009 -33.5225 -34.2048 -34.2613 -34.5955 -34.8839 -35.2129 -35.2129 -35.2129 -35.2129 -35.2129 -35.6892 -35.6892 -36.0906 -36.0906 -36.0906 -36.0906 -36.0906 -36.2007 -36.5024 -36.5024 -36.5024 -36.6125 -36.7736 -36.7736 -36.7736 -36.8057 -36.8838 -36.9058 -36.9067 -36.9067 -37.09 -37.09 -37.1681 -37.199 -37.3393 -37.3393 -37.3393 -37.3393 -37.3393 -37.4646 -37.4646 -37.4646 -37.5519 -37.5519 -37.5519 -37.5519 -37.6146 -37.6482 -37.8018 -37.8018 -37.8018 -37.8018 -37.9465 -37.9465 -37.9465 -37.9896 -37.9896 -38.0523 -38.0523 -38.1378 -38.2879 -38.2879 -38.2879 ]
14,[-21.2865 -21.9313 -21.9313 -23.0084 -23.0084 -23.0084 -23.0084 -23.4505 -24.1975 -24.8199 -24.8857 -26.0023 -26.292 -26.292 -27.0468 -27.4064 -27.9426 -27.9467 -27.9467 -28.4951 -29.1719 -30.1652 -30.1652 -30.6159 -30.6847 -30.6847 -31.3818 -31.3818 -31.5588 -31.7154 -32.1315 -32.4953 -32.4953 -33.031 -33.031 -33.3359 -33.3359 -33.3744 -33.6865 -34.1009 -34.2814 -34.7603 -34.7603 -34.7603 -34.8965 -34.9112 -35.1419 -35.1931 -35.3129 -35.3129 -35.4131 -35.5435 -35.5435 -35.5435 -35.9469 -35.9481 -35.9481 -36.5845 -36.5845 -36.5845 -36.5845 -36.5845 -36.6172 -36.6172 -36.6172 -36.8152 -36.8935 -37.0218 -37.2513 -37.3286 -37.3286 -37.4309 -37.7332 -38.0102 -38.0102 -38.0102 -38.0102 -38.0102 -38.0418 -38.1022 -38.3478 -38.3478 -38.3793 -38.3793 -38.3793 -38.3793 -38.3793 -38.4482 -38.6372 -38.6372 -38.6372 -38.6372 -38.6372 -38.6372 -38.7854 -38.7981 -38.8089 -38.9005 -38.975 -39.0669 ]
15,[-19.2034 -19.6889 -19.7689 -20.8281 -21.0186 -21.7961 -22.0131 -22.4269 -23.3591 -24.2698 -24.2698 -24.988 -25.0083 -26.343 -27.2246 -27.9716 -27.9716 -28.106 -28.106 -28.7915 -28.7915 -29.6712 -30.2125 -30.2125 -30.3756 -30.4007 -30.4915 -30.8988 -30.8988 -31.0288 -31.4353 -31.6657 -31.8128 -31.9762 -32.0681 -32.1982 -32.3307 -32.4425 -32.527 -32.8341 -32.8341 -32.8692 -32.9886 -32.9886 -33.212 -33.212 -33.6349 -33.9675 -33.9675 -34.2743 -34.3501 -34.5766 -34.5766 -34.8069 -34.8879 -34.8879 -34.8879 -34.8879 -34.899 -34.899 -34.9046 -35.0297 -35.0297 -35.1913 -35.1913 -35.1913 -35.2024 -35.2024 -35.5245 -35.5245 -35.5245 -35.5245 -35.5245 -35.5941 -35.6524 -35.7015 -35.9024 -35.9024 -35.9024 -35.9024 -36.183 -36.1886 -36.1886 -36.1886 -36.4214 -36.7391 -36.7391 -36.7391 -36.7391 -36.7391 -36.7391 -36.7391 -36.9418 -36.9418 -37.0817 -37.0817 -37.2845 -37.2845 -37.2845 -37.2913 ]
16,[-19.7675 -19.7675 -19.7675 -19.9219 -22.0313 -22.0313 -22.4279 -23.0599 -23.0599 -24.1108 -24.1108 -25.3677 -25.536 -25.6836 -26.0714 -26.0781 -26.8957 -27.0038 -28.5987 -28.5987 -29.1289 -29.3232 -29.3232 -29.4233 -30.5532 -30.5532 -30.5532 -30.554 -31.5766 -31.9309 -32.3906 -33 -33.0568 -33.4689 -33.4689 -33.5988 -34.2932 -34.4387 -35.0872 -35.0872 -35.0872 -35.0872 -35.4056 -35.8015 -35.8015 -35.8015 -35.8015 -35.8015 -35.8015 -36.1255 -36.3536 -36.3536 -36.3536 -36.3536 -36.3961 -36.3961 -36.7344 -36.8041 -36.9125 -36.9789 -36.9789 -37.0538 -37.1406 -37.3921 -37.5703 -37.6084 -37.6084 -37.6084 -37.6367 -37.7601 -37.7601 -37.7601 -37.7601 -37.7601 -37.8164 -37.8421 -37.8421 -37.8421 -37.8421 -37.8768 -37.9085 -38.0597 -38.1123 -38.1123 -38.2469 -38.2469 -38.3133 -38.3791 -38.4187 -38.4851 -38.4851 -38.5312 -38.5312 -38.6465 -38.6465 -38.7295 -38.7525 -38.7525 -38.7525 -38.7525 ]
17,[-18.3962 -18.6892 -19.3523 -21.9597 -21.9597 -22.6817 -22.6817 -23.8355 -24.0813 -24.4167 -25.9425 -25.9425 -25.9425 -26.3144 -26.8805 -27.438 -28.0184 -28.0184 -28.7098 -28.7098 -28.9813 -30.3835 -30.3835 -30.5545 -31.1525 -31.9566 -31.9566 -31.9566 -31.9566 -33.0814 -33.3659 -33.7667 -33.7667 -33.8647 -34.0375 -34.0375 -34.0375 -34.0375 -34.0375 -34.0375 -34.0375 -34.0375 -34.1797 -34.2122 -34.4002 -34.4002 -34.4002 -34.4002 -34.904 -34.904 -34.904 -34.904 -34.904 -34.904 -34.9821 -35.1244 -35.1683 -35.277 -35.5008 -35.5008 -35.5008 -35.5008 -35.6 -35.6069 -35.6069 -35.809 -35.8186 -36.0207 -36.0207 -36.0207 -36.0207 -36.0419 -36.0419 -36.0419 -36.232 -36.2449 -36.3228 -36.3228 -36.5398 -36.5398 -36.5398 -36.5699 -36.5699 -36.5699 -36.5699 -36.5699 -36.5699 -37.2824 -37.3706 -37.3706 -37.3706 -37.3706 -37.4994 -37.4994 -37.5585 -37.6493 -37.6493 -37.6493 -37.6493 -37.6493 ]
18,[-20.692 -20.692 -20.692 -21.4452 -21.4452 -22.8731 -22.9 -23.274 -23.5279 -24.1285 -25.184 -26.0811 -26.0811 -26.4371 -26.4371 -28.1457 -28.3723 -28.3723 -28.3723 -29.5433 -30.5716 -30.5716 -30.5716 -30.5716 -30.5716 -31.003 -31.4095 -31.6785 -31.8409 -31.9041 -32.0333 -32.0333 -32.3552 -32.3795 -32.5802 -32.5802 -32.9557 -33.1653 -33.1653 -33.3723 -33.9476 -33.9476 -33.9476 -34.1117 -34.1117 -34.261 -34.261 -34.261 -34.5079 -34.5079 -34.5374 -34.6185 -34.7144 -34.7144 -34.8636 -34.8636 -34.8636 -34.8636 -34.9061 -35.0267 -35.0267 -35.0267 -35.166 -35.3444 -35.3764 -35.3764 -35.3764 -35.3873 -35.4829 -35.4829 -35.4829 -35.5395 -35.5395 -35.5986 -35.7049 -35.7049 -35.7776 -35.7776 -35.8297 -35.9253 -35.9253 -35.9253 -35.9253 -35.9253 -36.1043 -36.1043 -36.1714 -36.1714 -36.1714 -36.1714 -36.3351 -36.3351 -36.3839 -36.3839 -36.3839 -36.3839 -36.384 -36.384 -36.384 -36.4415 ]
19,[-19.7487 -19.7487 -19.8092 -21.0985 -22.2757 -22.7369 -24.051 -25.6897 -25.6897 -25.6897 -25.6897 -26.2132 -26.2132 -26.2132 -27.5083 -27.5083 -28.9066 -28.9577 -29.4716 -30.1401 -30.8603 -31.4621 -31.4621 -31.4851 -32.0413 -32.0413 -32.3845 -33.4544 -33.4544 -33.4544 -33.4544 -33.4544 -33.9169 -34.2325 -34.2325 -34.6661 -34.6661 -34.6661 -34.6661 -34.6661 -34.6661 -34.6661 -34.6661 -34.7463 -34.7463 -35.2016 -35.2016 -35.2016 -35.2016 -35.2016 -35.4637 -35.4637 -35.4637 -35.4637 -35.5891 -35.5891 -35.6709 -35.6709 -35.7205 -35.7714 -35.8579 -35.8579 -35.8579 -35.9659 -36.0393 -36.0787 -36.0787 -36.0787 -36.0954 -36.1087 -36.1633 -36.1633 -36.2819 -36.2819 -36.2819 -36.2819 -36.3073 -36.3379 -36.4137 -36.4137 -36.4242 -36.4495 -36.4828 -36.5165 -36.6587 -36.6893 -36.6893 -36.6893 -36.6893 -36.7563 -36.921 -36.921 -36.921 -37.1293 -37.1293 -37.1293 -37.1293 -37.1293 -37.1293 -37.2532 ]
20,[-20.1302 -20.1302 -20.1302 -20.1302 -20.7467 -23.0054 -24.1143 -24.1143 -24.1143 -24.1143 -24.5715 -24.5715 -26.2649 -26.9313 -26.9313 -27.3856 -28.0911 -28.1006 -28.8918 -28.9654 -29.7152 -29.7152 -30.0095 -30.3678 -31.7447 -32.3524 -32.3524 -32.3524 -32.5089 -33.0362 -33.8804 -33.8804 -33.8804 -34.0531 -34.1619 -34.1619 -34.4823 -34.4823 -34.4823 -34.5998 -34.7086 -34.7086 -34.7369 -35.0716 -35.0716 -35.2836 -35.588 -35.6466 -35.6466 -35.7554 -35.7554 -35.7554 -36.1262 -36.1262 -36.1262 -36.235 -36.235 -36.235 -36.235 -36.235 -36.451 -36.451 -36.6951 -36.6951 -36.6951 -36.8063 -36.8063 -36.8398 -37.0223 -37.0871 -37.1135 -37.2999 -37.3647 -37.3647 -37.4102 -37.5735 -37.5735 -37.5735 -37.6398 -37.6398 -37.6398 -37.6398 -37.6398 -37.6398 -37.6398 -37.6398 -37.6776 -37.6776 -37.8064 -37.8064 -37.8064 -37.8064 -37.8178 -37.8178 -37.8726 -37.8726 -37.8841 -37.8841 -37.8841 -37.8841 ]
