Run#,Result
1,2025.23
2,3025.49
3,1222.53
4,934.093
5,2606.39
6,3891.95
7,385.006
8,4950.78
9,2235.75
10,3524.93
11,1296.88
12,976.523
13,2325.27
14,2953.29
15,957.781
16,5556.16
17,1638.89
18,1724.25
19,2884.86
20,2302.82
21,1214.65
22,2559.56
23,2301.24
24,2107.51
25,2597.61
26,717.277
27,2513.7
28,3228.07
29,1494.99
30,2147.94
31,4172.61
32,2013.23
33,2303.82
34,1279.17
35,4771.37
36,2631.92
37,1979.51
38,1163.88
39,2205.9
40,990.783
41,953.479
42,2272.94
43,2447.46
44,2370.71
45,1338.26
46,8810.42
47,1472.86
48,1669.35
49,2205.37
50,3338.65
