Run#,fBest
1,4.16259e+08
2,4.21524e+08
3,1.26608e+08
4,1.37717e+08
5,1.74428e+08
6,2.89533e+08
7,2.59165e+08
8,1.95992e+08
9,6.03729e+08
10,8.49618e+07
11,1.8889e+08
12,6.69745e+08
13,3.95586e+08
14,1.95809e+08
15,1.73104e+08
16,4.2116e+08
17,4.58986e+07
18,3.48842e+08
19,5.72085e+08
20,1.20514e+09
21,1.15051e+08
22,1.40921e+08
23,6.38389e+08
24,1.67448e+08
25,1.47825e+08
26,2.79083e+08
27,3.81276e+08
28,4.65881e+07
29,4.69907e+08
30,1.00241e+08
31,1.96085e+08
32,3.82597e+07
33,5.51555e+08
34,4.71869e+07
35,3.5909e+08
36,2.64616e+08
37,1.93658e+08
38,7.90958e+07
39,3.18509e+08
40,4.42621e+08
41,7.4123e+07
42,2.18076e+08
43,1.83214e+08
44,1.00108e+08
45,2.8429e+08
46,7.31528e+07
47,1.3057e+08
48,5.28054e+08
49,1.7359e+08
50,2.50712e+08
