Run#,Result
1,4.10658
2,14.6973
3,6.07602
4,2.88374
5,4.51132
6,2.01661
7,7.06356
8,4.10424
9,3.9206
10,3.81895
11,2.23836
12,11.3736
13,5.46051
14,3.18929
15,6.47907
16,5.33919
17,6.60336
18,5.62142
19,4.77023
20,9.81485
21,2.31007
22,7.18952
23,4.63591
24,4.23562
25,5.2931
26,1.9812
27,3.23272
28,12.9175
29,5.89918
30,7.36362
31,6.75338
32,7.5195
33,10.2594
34,7.79329
35,11.2012
36,3.82656
37,9.73803
38,1.65964
39,6.62215
40,3.70733
41,8.87053
42,11.6601
43,6.08072
44,15.3612
45,3.6163
46,12.8188
47,10.6731
48,12.1851
49,4.28966
50,9.95552
