Run#,f best
11,[312.112 312.112 312.112 312.112 312.112 287.87 261.974 250.9 234.892 228.631 187.683 182.986 182.986 154.115 125.82 125.82 116.9 116.9 102.34 97.552 93.2771 93.2771 73.8106 73.8106 73.8106 66.7406 62.8714 58.5605 58.5605 56.3196 50.7028 50.7028 49.5224 44.9575 44.9575 41.396 41.396 36.824 35.0585 33.3139 32.6796 30.2428 29.1782 28.8308 27.7895 25.2028 21.3396 21.3153 21.3153 19.0828 19.0828 16.1838 15.7566 15.564 13.8846 13.4818 13.005 12.776 12.776 12.5238 12.1166 11.561 11.4187 11.4187 10.8155 10.6274 10.6274 10.1791 10.0115 9.76779 9.70032 8.80721 8.80721 8.80721 8.80721 8.4028 8.4028 8.4028 8.4028 8.4028 8.27727 7.97609 7.79094 7.79094 7.41052 7.35981 7.35981 7.35981 7.35981 7.35981 7.35981 7.16596 7.05517 7.05517 7.05517 7.05517 7.05517 7.05517 7.05517 7.04829 ]
12,[352.419 352.419 286.94 271.054 225.851 225.851 181.543 181.543 152.727 115.372 115.372 94.1702 94.1702 78.6828 78.6828 74.2541 62.3409 62.3409 57.8972 54.1773 48.204 40.3506 40.3368 40.3368 40.3368 39.3818 32.4266 32.1358 31.4139 30.6641 25.2718 23.855 23.855 22.2178 22.2178 20.4325 20.4325 20.4325 19.9409 19.5151 17.8455 17.8455 15.7962 15.7962 15.7839 15.1178 12.7631 12.7631 12.7631 12.4331 12.4331 12.2864 11.8596 11.6872 11.1868 10.8384 10.4957 10.2658 9.84829 9.25403 9.25403 9.25403 9.16712 8.77726 8.54468 8.54468 8.1174 8.1174 7.90378 7.73817 7.42815 7.42815 7.25218 7.25218 6.82563 6.82563 6.77244 6.68089 6.65055 6.65055 6.56975 6.56975 6.56975 6.52197 6.50789 6.45658 6.45658 6.43534 6.42959 6.31829 6.31053 6.225 6.22391 6.07985 6.07985 6.07985 6.07985 6.07985 6.05792 6.05792 ]
13,[347.768 347.768 347.768 347.768 334.368 269.463 269.463 269.463 254.482 234.643 199.526 165.757 165.757 150.311 132.435 132.435 107.913 97.7628 94.4791 93.6348 93.6348 87.9082 79.9077 71.3281 67.9129 65.4557 62.1773 54.3286 53.9486 49.0422 44.3014 42.466 42.466 42.466 40.3222 35.9596 35.9596 31.9495 27.7004 26.7185 26.7185 25.078 25.078 24.8301 22.361 20.6949 20.0364 20.0364 18.746 18.5722 18.5476 17.7369 17.7369 17.6929 16.8986 16.4603 15.4995 15.4995 15.1011 15.1011 14.9041 14.3582 14.2827 13.6205 13.6205 12.9016 12.3846 12.2376 12.2376 12.2376 11.9543 11.7166 11.7166 11.7166 11.6773 11.6394 11.6338 11.5718 11.5123 11.4576 11.287 11.287 11.1586 11.1586 11.1004 11.1004 11.1004 11.1004 11.0987 11.0987 11.0987 10.9843 10.9843 10.9843 10.9843 10.967 10.9559 10.9559 10.9559 10.9386 ]
14,[332.653 332.653 332.653 319.355 298.95 292.014 268.749 239.147 233.976 183.058 183.058 183.058 174.637 150.233 131.883 131.883 124.128 104.529 95.5246 95.5246 95.5246 95.5246 76.4392 72.9297 70.6173 70.6173 67.7246 57.9191 51.5634 48.904 48.904 47.5265 47.5265 43.5607 41.2524 39.2577 36.629 36.629 33.1027 31.2097 29.069 26.7759 25.0087 24.8971 24.8971 23.5976 22.4251 21.6016 20.6585 16.3437 16.3437 15.5645 14.7362 12.858 12.2007 11.5609 11.5609 10.5135 10.5135 10.1178 8.9882 8.48444 7.29745 7.29745 7.29745 7.29745 7.29745 6.51204 5.70796 5.70796 5.70796 5.5668 5.47 5.44783 5.34742 5.17724 5.15874 5.15874 5.0048 4.94364 4.94364 4.80862 4.80862 4.80862 4.7733 4.68076 4.46775 4.46775 4.46775 4.34516 4.27773 4.26461 4.26461 4.2311 4.2311 4.22524 4.22012 4.18144 4.18144 4.16548 ]
15,[351.223 351.223 340.293 282.139 257.475 228.4 228.4 219.358 196.589 196.589 151.785 151.785 120.376 120.305 116.718 116.718 115.271 98.2271 73.6501 73.6501 73.6501 69.8257 64.557 64.557 64.557 64.557 60.4598 55.2448 54.5774 50.0167 50.0167 49.5325 47.9695 44.8147 44.5063 41.6864 41.5055 38.6966 38.6966 37.2982 33.7032 32.4341 31.9902 28.5071 28.2782 26.8359 26.8359 24.7081 24.3989 22.4083 22.0394 22.0394 21.4225 21.2995 19.8257 19.7714 19.6143 19.1452 17.4017 17.4017 17.4017 17.4017 16.7193 16.6081 16.6081 16.0902 15.9065 15.497 14.6154 14.6154 14.5616 14.4443 14.4443 13.9924 13.5585 13.5585 13.5585 12.9047 12.9047 12.9047 12.7886 12.5699 12.5699 12.2227 11.7993 11.7422 11.7222 11.6471 11.6471 11.3675 11.34 11.225 11.149 11.1358 11.1358 11.102 10.8956 10.8918 10.8755 10.813 ]
16,[371.532 359.15 354.361 324.285 320.013 227.419 219.826 219.826 209.547 186.726 178.72 173.988 153.83 128.682 128.682 114.422 114.422 109.766 103.128 101.329 91.4337 88.7357 82.1552 82.1552 76.8952 67.7916 63.0995 63.0995 62.8047 59.043 53.2128 50.0562 48.0494 44.4149 44.4149 44.4149 44.4149 43.7941 42.2715 38.3929 38.3929 38.3929 35.9392 31.9834 31.9834 31.9834 30.3557 26.0441 24.9137 24.9137 24.9137 23.3441 22.9963 21.1136 19.6754 18.7877 18.0699 16.993 16.0935 15.8528 15.4988 15.4988 15.2916 15.2916 15.2916 15.2438 14.8575 14.8575 14.7698 14.7283 14.7283 14.626 14.626 14.4762 14.313 14.1059 14.1059 14.0393 13.8853 13.8731 13.8731 13.8731 13.8731 13.8731 13.7271 13.7271 13.7271 13.7271 13.7101 13.7101 13.6235 13.5879 13.5879 13.5796 13.5481 13.5481 13.5476 13.5437 13.5159 13.5159 ]
17,[391.872 367.06 367.06 316.341 282.617 258.604 258.604 196.611 196.611 196.611 128.285 128.285 128.285 120.756 94.8807 94.1932 86.4305 84.6263 72.358 63.6884 62.5144 59.1549 59.1549 47.3004 47.3004 47.3004 47.3004 45.495 45.0783 42.7147 40.2811 39.9956 38.6742 35.3418 34.8841 31.9448 31.9448 30.7683 27.8222 25.3551 25.3551 21.4401 21.427 21.427 20.5824 20.4542 19.7954 19.7954 19.7236 18.9572 18.5929 18.3361 17.8572 17.2787 16.799 16.799 16.6222 16.1933 16.1933 16.0842 15.8964 15.6823 15.637 15.5414 15.145 15.1034 15.049 14.9209 14.7562 14.6676 14.6247 14.6247 14.4701 14.4469 14.4127 14.338 14.338 14.2212 14.0142 14.0142 14.0142 14.0142 14.0142 14.0142 14.0142 13.9696 13.8902 13.7677 13.7677 13.7677 13.7677 13.7677 13.7598 13.7598 13.7598 13.7598 13.7598 13.7598 13.7598 13.7598 ]
18,[406.706 403.498 384.404 326.607 300.447 228.078 228.078 224.591 216.462 210.263 194.9 192.841 163.301 163.301 163.301 155.19 150.829 142.977 142.977 128.817 120.137 116.01 100.314 100.314 97.9574 91.4913 91.4913 88.2874 75.9719 75.2417 73.9561 65.3219 64.6345 64.1045 63.804 57.3195 53.7817 52.8818 49.5743 47.9332 44.7503 44.7503 44.7503 44.4867 43.07 41.2686 39.1991 39.0699 37.5711 37.2895 36.1077 35.8629 34.2475 33.8367 33.6574 32.6263 31.8442 31.3806 30.8856 30.8394 30.1235 29.6768 29.6768 29.375 28.9077 28.2746 28.2746 28.0013 27.938 27.7724 27.7724 27.6746 27.5036 27.194 26.8403 26.8403 26.8403 26.8007 26.7902 26.5618 26.5618 26.4353 26.3969 26.2758 26.2056 26.2056 26.1209 26.0547 25.9032 25.8758 25.8182 25.8182 25.792 25.6572 25.6398 25.6398 25.5514 25.3078 25.3078 25.2844 ]
19,[345.497 311.395 311.395 311.395 290.71 286.107 278.402 262.956 240.347 227.436 192.694 189.623 171.344 161.589 143.348 127.18 104.105 104.105 104.105 86.3004 86.3004 86.3004 80.7652 76.8509 68.9266 55.951 48.5377 46.4041 44.7351 44.7351 38.4412 35.9447 34.9355 34.9355 32.4836 32.4836 30.6995 29.7394 24.5941 24.4526 22.53 20.4748 20.4748 20.4748 18.9876 18.9876 18.9876 18.2672 18.1572 17.8888 17.2183 16.3579 16.3579 16.3579 16.1048 15.4348 15.4001 15.3728 15.3728 15.3728 14.7909 14.5612 14.5612 14.5155 13.8296 13.7509 13.7509 13.6463 13.6055 13.5707 13.346 13.2389 13.1293 13.1293 13.1293 13.0484 12.8442 12.8442 12.8442 12.8414 12.7557 12.7557 12.683 12.6537 12.5682 12.5682 12.5629 12.5295 12.5295 12.4934 12.4881 12.4881 12.4857 12.4204 12.4115 12.3935 12.3524 12.3524 12.3367 12.3222 ]
20,[351.463 351.463 351.463 351.463 330.061 278.6 239.346 193.757 170.924 169.429 169.429 136.22 125.755 125.755 118.804 108.509 81.4714 81.4714 81.4714 81.4714 76.0091 75.6516 69.2745 61.4063 57.617 57.617 50.8499 50.8499 45.3382 45.3382 41.1836 41.1836 40.2195 37.4313 37.4313 34.6486 31.7455 31.3486 31.3486 29.7463 28.8732 26.7851 26.7851 26.5139 26.2296 25.6393 24.9912 23.7997 23.476 23.3202 22.6739 22.6739 21.8402 21.3818 21.3818 20.8823 19.9757 19.8643 19.1144 19.1144 19.1144 19.1144 18.9138 18.6108 18.6108 18.6108 18.326 18.326 18.2339 17.8894 17.8894 17.8648 17.6653 17.631 17.2556 17.2371 16.9165 16.9165 16.9165 16.9165 16.9165 16.8432 16.8432 16.8432 16.6437 16.6391 16.6391 16.6391 16.5688 16.5074 16.5016 16.5016 16.5014 16.5014 16.3896 16.3896 16.3896 16.381 16.3805 16.3747 ]
