Time(ms)
148
152
203
200
676
553
487
342
261
285
300
267
260
193
160
163
150
145
144
145
145
146
150
163
156
147
145
147
146
144
145
147
145
145
149
150
145
145
148
146
146
148
144
145
148
146
144
146
148
146
