Run#,fBest
1,10.9427
2,6.58513
3,2.40685
4,1.65365
5,7.47561
6,2.8033
7,7.0431
8,7.39269
9,6.04023
10,9.84118
11,5.4515
12,7.85509
13,5.61723
14,6.38038
15,4.32048
16,3.5943
17,8.29659
18,4.54844
19,6.6971
20,10.3684
21,5.87099
22,6.95179
23,1.82755
24,5.2415
25,3.41015
26,2.62279
27,8.4856
28,3.19416
29,12.7023
30,3.66552
31,4.95361
32,2.47193
33,3.65788
34,5.15093
35,19.5322
36,2.19514
37,6.11966
38,2.96622
39,3.77757
40,5.19953
41,3.31785
42,13.2527
43,4.96778
44,12.973
45,6.74269
46,8.17171
47,4.96948
48,7.48702
49,13.3593
50,5.06499
