Run#,fBest
1,2162.57
2,2915.88
3,2133.29
4,1610.73
5,587.828
6,689.815
7,1728.59
8,1248.85
9,1630.6
10,3224.45
11,2568.22
12,3631.36
13,1100.88
14,1429.74
15,2082.74
16,962.977
17,1665.19
18,1819.34
19,1711.37
20,1375.32
21,982.198
22,5804.47
23,2411.93
24,1130.71
25,2762.84
26,534.819
27,2885.1
28,1094.83
29,1571.88
30,2248.27
31,1649.22
32,2870.45
33,1489.68
34,2177.73
35,2967.59
36,1616.53
37,1371.94
38,1423.47
39,1731.38
40,556.552
41,977.802
42,1876.28
43,1193.1
44,903.594
45,1605.76
46,1555.81
47,4448.76
48,1418.23
49,3047.18
50,777.241
