Run#,Result
1,-9.43604
2,-11.5473
3,-10.3287
4,-11.4673
5,-10.9505
6,-7.93329
7,-10.2514
8,-10.718
9,-12.6939
10,-10.7729
11,-11.5094
12,-9.32964
13,-9.47665
14,-9.83099
15,-13.4027
16,-10.4477
17,-16.2539
18,-12.8997
19,-11.0201
20,-14.9512
21,-12.0061
22,-8.19163
23,-13.1992
24,-13.7115
25,-11.8752
26,-12.3651
27,-12.7953
28,-13.3343
29,-15.2686
30,-12.0905
31,-12.2941
32,-9.87243
33,-12.3491
34,-10.6016
35,-11.5271
36,-11.9232
37,-10.7603
38,-10.8192
39,-10.8929
40,-9.20902
41,-9.52814
42,-12.2732
43,-12.3182
44,-10.8706
45,-8.60053
46,-8.95092
47,-12.5731
48,-10.4153
49,-11.0426
50,-11.5883
