Time(ms)
153
152
148
154
152
147
147
147
149
148
154
152
153
152
151
149
149
152
150
151
165
172
151
149
155
151
147
147
146
154
155
155
156
153
150
148
161
147
151
165
166
154
157
149
154
153
158
156
150
152
