Run#,Result
1,20.151
2,22.2584
3,21.0251
4,38.1049
5,20.5289
6,28.2203
7,25.4432
8,24.1306
9,16.7076
10,22.3878
11,26.24
12,30.5687
13,31.6034
14,29.5194
15,26.4727
16,35.3034
17,23.154
18,33.4571
19,26.4735
20,25.1244
21,17.1257
22,27.4446
23,22.0103
24,28.6806
25,26.7418
26,21.5708
27,22.8217
28,34.2135
29,34.7319
30,31.0303
31,34.4614
32,30.5962
33,25.6439
34,26.8032
35,21.1605
36,22.7489
37,35.8464
38,17.638
39,21.1532
40,31.2541
41,32.7864
42,25.482
43,19.407
44,23.118
45,23.1948
46,27.678
47,29.2078
48,37.8546
49,26.3642
50,25.1155
