Run#,Result
1,2353.04
2,1109.98
3,2349.17
4,2052.88
5,1387.07
6,1319.83
7,1270.91
8,2248.46
9,1041.23
10,1923.51
11,1524.8
12,703.203
13,1077.43
14,1813.12
15,2001.51
16,1700.6
17,1098.96
18,677.941
19,1273.68
20,1564.23
21,1779.73
22,1245.14
23,1497.71
24,1680.77
25,1597.88
26,1178.95
27,1388.46
28,1411.67
29,2086.33
30,1804.45
31,1045.97
32,1164.41
33,1769.09
34,989.131
35,1386.19
36,1181.75
37,1083.13
38,1407.64
39,1731.74
40,1220.96
41,798.587
42,663.528
43,1169.22
44,2291.44
45,1209.54
46,1349.32
47,1387.51
48,701.636
49,875.411
50,1158.23
