Run#,f best
11,[-0.737529 -1.39019 -1.39019 -1.39019 -1.51116 -1.95947 -1.95947 -2.28206 -2.60554 -3.39506 -3.80438 -3.87045 -3.93327 -3.93327 -4.65221 -5.45541 -5.46107 -5.46107 -5.46107 -5.9625 -5.9625 -6.40633 -6.90073 -6.92116 -7.27998 -7.41172 -7.88998 -7.88998 -7.88998 -7.88998 -7.97479 -8.06716 -8.1468 -8.72672 -8.72672 -8.91093 -9.10061 -9.41615 -9.41616 -9.41616 -9.41616 -9.41616 -9.41777 -10.113 -10.113 -10.113 -10.1646 -10.1646 -10.1646 -10.1743 -10.1743 -10.1743 -10.1743 -10.1743 -10.1783 -10.1783 -10.1783 -10.687 -10.7483 -10.7743 -10.7743 -10.7814 -10.8484 -10.8632 -10.8632 -10.8632 -10.8632 -10.8632 -10.9257 -10.9257 -10.9257 -10.9257 -10.9257 -10.9257 -10.9367 -11.0206 -11.0206 -11.0316 -11.0316 -11.0316 -11.0316 -11.0316 -11.0316 -11.0316 -11.0316 -11.0316 -11.34 -11.3916 -11.3916 -11.3916 -11.3916 -11.3916 -11.3916 -11.5094 -11.5094 -11.5094 -11.5094 -11.5094 -11.5094 -11.5094 ]
12,[-0.15296 -1.25943 -1.25943 -1.25943 -1.25943 -1.25943 -1.25943 -2.17231 -2.17231 -2.17231 -2.19299 -2.74684 -2.80659 -2.80659 -2.80659 -2.97259 -3.59092 -3.59092 -3.59092 -3.59092 -3.62774 -3.8217 -4.06451 -4.06451 -4.06451 -4.97611 -4.97611 -4.97611 -5.57308 -5.80785 -6.14434 -6.14434 -6.14434 -6.14434 -6.64671 -6.64671 -7.05652 -7.05652 -7.11626 -7.11626 -7.11626 -7.17822 -7.17822 -7.17822 -7.17822 -7.78581 -7.80941 -8.05318 -8.05318 -8.06012 -8.06012 -8.13853 -8.27013 -8.27013 -8.33676 -8.33676 -8.45829 -8.45829 -8.45829 -8.62331 -8.62331 -8.62331 -8.62331 -8.69589 -8.71949 -8.96431 -8.96431 -8.96431 -8.96431 -8.96431 -8.96431 -8.96431 -8.96431 -8.96431 -8.96431 -8.96431 -8.96431 -8.96431 -8.96431 -8.96431 -9.18425 -9.18425 -9.18425 -9.26651 -9.26651 -9.26651 -9.26651 -9.26651 -9.26651 -9.26651 -9.26651 -9.26651 -9.26651 -9.26651 -9.26651 -9.26651 -9.3127 -9.3127 -9.32964 -9.32964 ]
13,[-0.981811 -1.22334 -1.22334 -1.22334 -1.37743 -1.43847 -2.02665 -2.10984 -2.10984 -2.89148 -2.89148 -3.14067 -3.14067 -3.25334 -3.54834 -3.90453 -3.90453 -4.14794 -4.29266 -4.72679 -5.17799 -5.25252 -5.69544 -5.69544 -5.74686 -5.74686 -5.74686 -5.82853 -5.82853 -6.37783 -6.37783 -6.37783 -6.37783 -6.37783 -6.39146 -6.39146 -6.39146 -6.50797 -6.62792 -6.62792 -6.69552 -6.81547 -7.07383 -7.07383 -7.07383 -7.07383 -7.11227 -7.22551 -7.32346 -7.32346 -7.71823 -7.71823 -7.71823 -7.71823 -7.85723 -7.85723 -7.85723 -7.85723 -7.89681 -7.89681 -7.89681 -7.89681 -8.03256 -8.03256 -8.0358 -8.135 -8.135 -8.135 -8.135 -8.135 -8.22819 -8.22819 -8.22819 -8.33454 -8.33454 -8.33454 -8.38815 -8.38815 -8.42495 -8.49951 -8.49951 -8.58491 -8.58491 -8.58491 -8.58491 -8.60007 -8.60007 -8.60007 -8.60007 -9.01178 -9.01178 -9.01178 -9.01178 -9.01178 -9.01178 -9.01178 -9.02743 -9.02743 -9.47665 -9.47665 ]
14,[-1.04656 -1.04656 -1.04656 -1.27289 -1.48142 -1.78996 -1.95955 -2.25311 -2.33193 -3.00986 -3.00986 -3.00986 -3.00986 -3.96273 -3.96273 -4.16236 -4.22938 -4.57506 -4.57506 -4.81343 -4.90797 -5.19702 -5.89015 -6.3794 -6.3794 -6.3794 -6.59627 -6.67617 -6.93463 -6.93463 -6.93463 -6.93463 -6.93463 -7.17703 -7.17703 -7.36973 -7.36973 -7.36973 -7.36973 -7.81702 -7.81702 -7.81702 -7.81702 -8.29201 -8.29201 -8.29201 -8.29201 -8.29201 -8.38996 -8.38996 -8.38996 -8.38996 -8.38996 -8.38996 -8.47622 -8.47622 -8.47647 -8.56273 -8.56273 -8.63269 -8.63269 -8.63269 -8.63269 -8.63269 -8.63269 -8.89262 -9.03509 -9.03509 -9.03509 -9.03509 -9.03509 -9.05337 -9.31117 -9.42276 -9.45689 -9.45689 -9.45689 -9.52579 -9.59575 -9.59575 -9.59575 -9.60181 -9.60181 -9.64996 -9.70655 -9.70655 -9.70655 -9.70655 -9.70655 -9.71992 -9.71992 -9.71992 -9.71992 -9.71992 -9.76077 -9.83073 -9.83073 -9.83073 -9.83099 -9.83099 ]
15,[-0.994161 -0.994161 -0.994161 -0.994161 -1.13813 -1.13813 -1.15639 -1.81855 -1.91498 -2.87656 -2.87656 -2.87656 -2.87656 -3.23266 -3.8378 -3.8378 -4.27181 -4.27181 -4.31891 -4.81325 -4.92582 -5.9322 -5.9322 -6.2 -6.30672 -6.70127 -7.06973 -7.06973 -7.06973 -7.51292 -7.51292 -7.51292 -8.16831 -8.16831 -8.16831 -8.16831 -8.36168 -8.67 -9.63113 -9.63113 -9.63113 -9.72646 -9.90901 -9.90906 -10.7 -10.7 -11.1005 -11.1005 -11.1005 -11.1005 -11.3352 -11.3352 -11.9808 -11.9808 -12.0739 -12.0739 -12.0739 -12.0739 -12.3547 -12.3547 -12.3547 -12.3547 -12.3547 -12.3977 -12.3977 -12.3977 -12.3977 -12.3977 -12.3977 -12.3977 -12.4908 -12.4908 -12.4908 -12.4908 -12.4908 -12.8399 -12.8399 -12.8399 -12.8399 -12.8399 -12.8399 -12.8399 -12.9097 -12.9575 -13.0915 -13.0915 -13.0915 -13.0915 -13.0915 -13.0915 -13.0915 -13.0915 -13.2036 -13.2036 -13.2036 -13.2036 -13.2036 -13.2736 -13.3702 -13.4027 ]
16,[-0.796835 -1.11379 -1.11379 -1.11379 -1.37288 -1.37288 -1.6139 -2.11496 -2.22793 -2.79636 -2.99255 -2.99255 -3.44065 -4.00727 -4.31625 -4.31625 -4.42366 -5.52683 -5.52683 -6.33272 -6.33272 -6.33272 -6.33272 -6.33272 -6.38451 -6.38451 -6.38451 -6.64955 -6.74814 -6.85798 -7.04514 -7.36406 -7.36406 -7.64982 -7.83983 -7.99916 -7.99916 -8.3651 -8.3651 -8.36627 -8.36627 -8.36627 -8.43147 -8.85838 -8.85956 -8.85956 -8.85956 -8.85956 -8.85956 -9.10597 -9.10597 -9.10597 -9.10597 -9.10597 -9.10597 -9.18214 -9.30425 -9.30425 -9.30425 -9.38042 -9.38042 -9.38043 -9.55173 -9.55173 -9.55173 -9.55173 -9.55173 -9.65124 -9.65124 -9.65124 -9.65124 -9.65124 -9.75202 -9.75202 -9.75202 -9.75202 -9.75202 -9.85153 -9.86396 -9.94353 -10.1076 -10.1076 -10.1076 -10.1076 -10.2143 -10.2143 -10.2143 -10.2263 -10.4477 -10.4477 -10.4477 -10.4477 -10.4477 -10.4477 -10.4477 -10.4477 -10.4477 -10.4477 -10.4477 -10.4477 ]
17,[-0.681625 -0.681625 -0.757561 -1.14328 -1.14328 -1.51264 -2.26758 -2.26758 -2.41882 -2.63429 -2.63431 -2.75284 -3.24068 -3.24068 -3.44037 -3.63478 -3.96814 -4.24598 -4.62009 -5.01514 -5.01514 -5.02373 -5.42463 -5.63985 -5.96897 -6.04389 -6.77546 -6.77546 -6.91004 -7.54944 -7.54944 -8.36094 -8.6576 -8.86296 -9.57647 -10.3833 -10.5328 -11.1709 -11.3867 -11.3869 -11.3869 -11.3869 -11.3869 -11.3869 -11.4148 -11.5834 -11.5834 -12.3205 -12.3205 -12.3205 -12.3205 -12.3205 -12.3205 -12.3205 -12.3205 -12.3205 -12.5017 -12.6498 -12.6498 -12.8177 -12.8676 -12.8676 -12.961 -13.0007 -13.0286 -13.6433 -14.5504 -14.5504 -14.5504 -14.5504 -14.5504 -14.5504 -14.5504 -14.5504 -14.5504 -14.9203 -14.9203 -14.9203 -14.9203 -15.0978 -15.8131 -15.8131 -15.8131 -16.0049 -16.0049 -16.0049 -16.0049 -16.0049 -16.0049 -16.0049 -16.2539 -16.2539 -16.2539 -16.2539 -16.2539 -16.2539 -16.2539 -16.2539 -16.2539 -16.2539 ]
18,[-0.0793329 -0.803828 -1.10959 -1.11915 -1.45762 -1.58754 -1.67354 -1.84666 -2.40863 -2.45613 -2.74376 -3.87072 -3.87072 -3.87072 -4.48013 -4.80227 -4.80227 -6.01247 -6.01247 -6.37392 -6.37392 -6.37392 -6.37392 -6.47591 -7.34643 -7.34643 -7.34643 -7.34643 -7.34643 -7.34643 -7.89788 -7.89788 -7.93891 -8.18611 -8.18611 -8.27132 -8.27132 -8.40695 -8.40695 -8.40695 -8.48597 -8.69792 -8.69792 -9.35305 -9.43023 -9.45488 -9.45488 -9.84199 -10.3722 -10.3722 -10.5633 -10.5633 -10.5633 -10.5633 -10.5633 -10.5633 -10.6143 -10.7852 -11.2036 -11.2036 -11.2036 -11.7803 -11.9877 -11.9877 -12.0882 -12.0882 -12.2837 -12.3342 -12.3342 -12.3342 -12.3342 -12.3342 -12.3342 -12.3342 -12.3342 -12.3342 -12.3342 -12.3483 -12.3483 -12.6127 -12.6127 -12.6127 -12.634 -12.634 -12.634 -12.634 -12.634 -12.634 -12.634 -12.634 -12.8881 -12.8881 -12.8881 -12.8881 -12.8881 -12.8881 -12.8881 -12.8997 -12.8997 -12.8997 ]
19,[-1.23935 -1.23935 -1.36333 -1.37935 -2.15407 -2.15407 -2.44283 -3.0045 -3.57236 -3.57236 -4.62629 -4.62629 -4.62629 -4.83217 -5.63264 -5.63264 -6.05247 -7.15738 -7.15738 -7.15738 -7.1574 -7.1574 -7.37054 -7.37054 -7.61079 -7.61079 -7.61198 -7.61198 -7.66871 -7.66871 -7.66871 -7.84277 -7.84277 -8.28752 -8.28752 -8.28752 -8.28752 -8.31046 -8.31046 -8.51841 -8.65166 -8.67984 -8.82717 -8.82761 -9.0023 -9.16532 -9.16532 -9.16532 -9.25656 -9.25656 -9.25656 -9.52156 -9.59109 -9.68384 -9.79624 -9.82541 -9.82541 -9.83877 -9.8425 -10.2246 -10.2246 -10.3662 -10.3662 -10.3662 -10.3662 -10.3793 -10.4763 -10.4763 -10.4763 -10.4763 -10.5432 -10.5432 -10.5938 -10.5938 -10.5938 -10.5938 -10.6513 -10.7061 -10.7061 -10.7061 -10.7184 -10.7489 -10.7489 -10.8577 -10.8577 -10.8658 -10.8708 -10.8708 -10.9013 -10.9683 -10.9772 -10.9772 -11.0007 -11.0007 -11.0126 -11.0134 -11.0134 -11.0138 -11.0176 -11.0201 ]
20,[-0.95531 -0.95531 -0.95531 -1.16492 -1.64901 -1.65996 -2.26691 -2.70691 -2.70691 -2.70691 -3.34691 -3.48004 -4.24921 -4.24921 -4.24921 -4.61538 -4.90899 -5.07381 -5.07381 -5.5665 -5.64152 -6.05424 -6.05424 -6.10143 -6.57213 -6.57213 -6.57948 -6.78485 -7.05371 -7.66654 -7.66654 -7.88369 -7.95175 -8.02668 -8.38917 -8.38917 -8.91021 -8.91021 -8.91021 -9.07541 -9.19095 -9.19095 -9.43557 -9.97171 -9.97171 -9.97171 -10.1985 -10.4805 -10.5268 -10.7808 -10.8481 -10.8481 -10.9976 -11.1555 -11.1555 -11.2715 -11.2715 -11.2715 -11.4771 -11.6255 -11.6371 -11.6647 -11.7835 -12.6356 -12.6356 -12.6356 -12.9153 -12.9153 -12.9153 -13.0196 -13.4847 -13.4847 -13.4847 -13.5467 -13.5467 -13.5467 -13.5467 -14.1918 -14.1918 -14.1918 -14.1918 -14.1918 -14.1918 -14.1918 -14.1918 -14.1918 -14.1918 -14.1918 -14.1918 -14.1918 -14.1918 -14.59 -14.59 -14.59 -14.59 -14.59 -14.59 -14.6877 -14.6877 -14.9512 ]
