Run#,fBest
1,-10.8555
2,-13.8457
3,-10.9375
4,-10.557
5,-15.1479
6,-12.7904
7,-11.249
8,-12.6597
9,-10.1773
10,-13.9182
11,-9.48799
12,-10.3183
13,-14.4097
14,-11.228
15,-14.5662
16,-11.9774
17,-10.934
18,-12.1502
19,-8.3326
20,-10.9865
21,-10.7349
22,-12.8764
23,-14.6217
24,-9.71183
25,-11.9608
26,-12.9994
27,-9.18181
28,-13.844
29,-12.3705
30,-10.7577
31,-11.539
32,-15.5699
33,-12.9023
34,-9.44966
35,-9.81762
36,-11.288
37,-7.42297
38,-15.1427
39,-15.0556
40,-10.1462
41,-9.7936
42,-14.2864
43,-9.18486
44,-12.7411
45,-12.2496
46,-10.7122
47,-11.164
48,-11.478
49,-12.1511
50,-8.64477
