Time(ms)
194
195
193
196
192
194
196
192
194
192
191
194
192
193
192
192
196
193
194
195
203
205
192
192
198
194
193
193
192
194
191
193
192
192
198
193
201
212
194
195
191
193
195
193
195
192
200
196
193
195
