Time(ms)
135
136
135
133
134
133
136
134
133
152
138
133
133
135
137
133
134
136
135
135
137
134
133
133
136
133
134
133
135
135
134
133
135
133
133
134
134
133
133
136
133
136
133
136
134
133
132
135
135
134
