Time(ms)
221
255
368
266
236
197
194
191
260
210
227
464
397
345
257
214
193
186
188
186
186
191
187
185
187
188
187
186
186
187
185
186
187
186
187
189
193
188
186
186
188
186
188
186
185
188
188
189
194
185
