Time(ms)
126
124
122
121
125
122
121
121
124
123
135
123
123
121
122
121
124
122
121
121
124
122
122
121
123
122
121
124
134
149
147
127
123
122
122
121
123
122
122
124
124
122
122
121
123
122
121
122
123
121
