Function,Mean,Median,Std,Range(low),Range(high),Time(mus)
1,0,0,0,0,0,0
2,1.97215e-29,1.4013e-45,1.97215e-29,1.4013e-45,2.09646e-29,1.4013e-45
3,-5.91066e+21,4.59149e-41,-5.91062e+21,4.59149e-41,1.97285e-29,1.4013e-45
4,1.99831e-29,1.4013e-45,2.06288e-29,1.4013e-45,-5.91042e+21,4.59149e-41
5,-5.91044e+21,4.59149e-41,-5.91042e+21,2.36017e-38,-5.91042e+21,4.59149e-41
6,-24.3991,-24.4361,0.835969,-26.1707,-22.5814,539.94
7,2.09789e-29,1.4013e-45,32,1.4013e-45,1.97215e-29,1.4013e-45
8,0,0,0,0,-5.91056e+21,4.59149e-41
9,3.17904e-40,0,0,0,2.09789e-29,1.4013e-45
10,-7960.06,-7736.5,866.52,-10322.2,-6374.96,599.52
11,-7787.61,-7741.24,814.262,-9786.72,-6249.93,655.12
12,-7.11565,-6.16264,3.78283,-20.6493,-2.15054,360.06
13,-12.1787,-12.1319,0.595564,-13.6186,-10.6919,713.1
14,-2.61536,-2.62786,0.320932,-3.47947,-2.04105,634.5
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
