Strategy,Mean,Median,Standard Deviation,Range(low),Range(high),Time(mius)
1,0.28,0,0.448999,0,1,353.86
2,1514.64,1504.5,176.132,1071,1802,448.8
3,0,0,0,0,0,347.88
4,852.16,878.5,182.892,434,1211,485.72
5,7038.38,6949.5,742.115,5591,8697,640.62
6,0.84,1,0.611882,0,3,494.56
7,2225.4,2192,260.237,1681,2760,685.1
8,0,0,0,0,0,516.94
9,835.54,812,298.862,296,1698,743.86
10,13432.5,13517.5,1230.12,9896,16983,1004.6
