Run#,Result,Solution
21,1395.03,[511.507 -423.266 280.491 -448.127 -427.053 -437.477 290.089 -441.518 -460.784 -420.027 302.758 -424.915 -423.89 -428.66 -420.05 -421.61 -432.801 -421.548 -437.429 -429.385 -423.281 511.971 -421.747 -426.226 -421.367 301.434 -432.97 -435.287 -420.419 302.368 ]
22,771.054,[285.652 -424.231 -422.45 302.365 -419.569 -423.765 -425.264 -430.415 -421.302 -420.278 -421.047 -442.187 -420.723 -447.05 -422.042 -421.212 -420.343 -435.896 -444.347 -421.375 -440.565 -424.005 302.788 -425.592 -421.188 -420.705 -445.717 -422.978 -419.13 -420.525 ]
23,1812.37,[-421.286 -422.586 -427.292 -424.626 508.921 120.128 302.878 -435.073 285.863 -420.424 -450.263 303.327 -433.904 -427.005 -433.398 267.555 302.794 -420.608 302.378 -424.954 509.784 -424.403 -440.188 -421.121 -450.74 -424.718 -424.682 -422.13 -426.491 -422.849 ]
24,1202.07,[-420.494 -421.031 -421.793 301.065 -437.093 -422.592 291.087 -422.091 -428.381 301.154 -435.034 -420.865 295.125 -437.62 -421.611 302.559 -423.138 -426.496 -442.493 -430.82 -422.358 -422.053 -423.926 -434.634 -433.34 -457.369 298.217 -447.672 -422.751 -421.819 ]
25,1434.08,[-423.627 -421.897 -422.841 -422.84 -425.232 300.389 287.278 302.407 -422.369 -421.597 -434.207 -436.133 -428.794 303.818 -429.534 -443.207 -424.887 -205.608 286.401 -452.025 302.016 -432.893 -422.404 -420.843 -423.389 -423.407 -421.552 -420.832 -441.605 302.228 ]
26,1611.7,[281.254 283.264 302.474 -424.622 303.199 -422.583 282.341 -424.203 -422.302 -443.7 -441.492 -404.713 292.23 -426.013 302.328 -422.051 -422.04 -421.055 302.896 284.592 -425.379 -431.801 298.997 -433.777 -422.884 -434.896 -424.377 -421.098 -420.597 -425.7 ]
27,1223.21,[-422.005 -425.552 295.271 -420.189 -421.607 -425.535 -427.016 -438.603 -440.971 -433.827 -423.933 -423.884 -420.993 -457.185 286.19 -431.185 -451.37 -427.521 -421.839 -422.098 282.285 -438.771 -441.96 -421.76 -428.74 -422.136 301.301 -425.999 -421.098 288.277 ]
28,1158.16,[-425.284 -420.938 -421.873 -434.373 -428.704 -420.836 -420.842 -454.356 -428.608 -454.754 -434.359 -428.999 -443.286 -428.702 -423.02 301.766 -433.14 -433.312 -428.212 -424.57 302.488 -428.015 -436.327 293.056 -436.665 302.312 -450.456 -438.781 -423.663 -421.131 ]
29,1345.23,[291.781 -423.125 -424.964 -433.385 -448.107 -423.421 297.04 298.78 -419.441 -429.493 297.757 -419.943 -425.125 -436.86 -421.68 -429.954 103.513 -423.818 301.403 -426.781 -434.113 -422.32 -424.201 -433.688 -420.97 -437.897 301.457 -422.041 -429.442 -424.943 ]
30,1442.6,[-421.023 -422.412 -425.666 301.21 -428.813 -422.774 -423.738 302.744 -427.437 -420.047 300.053 -424.208 -426.287 -420.873 -420.436 -421.381 -425.835 -439.395 122.677 -427.727 298.447 279.014 -430.21 -431.708 -422.028 -431.974 510.726 301.839 302.605 -427.663 ]
31,1270.64,[-424.233 -424.742 -454.701 -427.028 -428.991 -420.954 -436.988 -428.974 286.125 -422.49 -421.991 -422.076 -422.949 272.942 -425.012 -449.859 -444.255 -429.58 -442.576 -444.465 -441.594 302.262 -422.117 -443.807 -421.393 -421.552 -428.426 -436.716 297.757 -423.019 ]
32,1979.78,[-424.243 -443.198 -425.356 294.239 -420.897 303.086 298.228 -426.039 -423.745 122.707 274.166 -456.797 -424.796 299.95 -422.531 -435.627 -422.381 -447.135 -432.927 302.915 -422.521 -455.578 264.472 -422.563 -431.89 -430.319 -440.02 -422.221 -431.287 -423.82 ]
33,582.108,[-421.454 -431.939 295.596 -422.628 -422.335 -423.907 -423.557 -422.3 -424.849 -427.206 -422.79 -440.318 299.085 -425.636 -420.83 -422.098 -427.37 -420.564 -420.662 -426.981 -421.666 -446.704 -421.613 -432.475 -436.397 -420.807 296.789 -421.412 -421.49 -425.101 ]
34,742.126,[-429.768 -421.099 -428.499 -429.826 -421.706 -434.032 -420.868 289.82 -425.276 -450.298 -429.918 -439.601 -425.258 287.196 -437.185 -421.082 -420.735 -421.039 -453.044 -421.817 -432.723 -430.015 -428.113 -421.736 -423.651 -420.892 -420.822 -425.206 -421.297 -440.803 ]
