Run#,Result,Solution
1,1.47016e+08,[-0.6968 0.649796 0.0531641 -29.7864 -3.89713 1.99884 0.140667 -20.803 -15.819 -6.29111 0.370102 -0.17313 -19.7066 4.48739 -3.68847 -7.27538 -2.82082 -7.9094 -12.131 -21.1836 -4.75174 -0.684216 -2.01606 -0.0170794 -10.0975 2.88138 -5.20955 -6.73204 -1.93821 -10.8229 ]
2,1.51865e+08,[-1.46409 -8.27586 3.34413 2.11398 0.266142 -12.9166 -11.8931 -10.4616 -5.45995 -21.4435 5.55561 -2.37357 -19.6995 -5.9264 1.11508 -1.45395 0.0424206 -5.69296 -23.7421 -1.2049 -1.65757 0.793191 -0.823441 -21.8372 2.79238 0.124719 -26.9027 -4.1471 -4.0294 15.053 ]
3,2.6625e+08,[-9.74646 1.49749 0.853474 -0.405683 -4.7013 -0.410126 -10.5619 3.06002 -10.044 -22.7793 0.650703 -15.7141 4.05425 -14.6596 -4.84124 0.541162 -10.981 3.55763 -0.371683 -0.0374896 -3.83215 -2.93526 -38.6858 8.12903 -9.79929 -3.79129 -0.735977 -2.61558 7.33125 52.5839 ]
4,5.68413e+08,[-4.39145 0.147767 -39.0262 -29.4337 -29.2659 2.37179 -2.43923 -27.3069 -8.94728 3.63337 2.27431 0.863053 0.434328 -0.354508 -0.565388 -23.2046 3.51796 -21.0554 4.03405 -23.4576 3.35116 -4.00051 -21.6567 4.83036 -0.340201 -2.92489 -6.02933 -20.1318 5.52301 -6.20163 ]
5,1.09864e+08,[0.205141 -0.212426 -3.67747 -3.34303 -12.0899 -14.1973 1.83135 -14.7442 4.8782 0.861764 -10.6607 -3.83728 -3.28864 0.652004 0.3031 -0.583876 -0.0449207 -0.210649 -3.02979 -1.05796 -2.06009 -13.2745 -7.89531 1.25963 0.311594 -3.46378 0.365989 -0.465101 -30.4205 -40.3283 ]
6,3.57213e+08,[-0.0247541 -6.18912 -0.869263 -40.2499 -6.98726 -1.7126 0.277978 -11.5812 -14.8382 4.24722 -0.0940418 -0.0642929 -5.5677 -1.83709 -1.32214 -0.785568 0.00698084 -14.675 -29.1162 -9.2252 -13.8668 1.12697 1.0402 0.991959 -0.205202 -6.23636 2.40808 -0.20678 0.233911 -80.3517 ]
7,1.13004e+07,[-10.468 2.18385 -0.807573 -13.7609 4.71158 1.80611 -9.9222 -7.42381 -11.1545 -4.00577 -8.85075 -8.84493 3.69258 -1.40729 0.606346 -2.1507 -9.58006 -4.46667 -0.979113 -1.92595 1.77831 0.996669 -1.61505 -9.67781 3.42438 -1.71342 -5.35822 2.52811 0.125588 -35.1063 ]
8,9.44832e+08,[-11.5348 0.542496 -0.651885 0.189018 -2.67202 -14.0834 -26.0869 -36.9088 -35.5203 0.163986 -0.0133353 -0.900734 0.596648 0.0401669 -39.1677 -18.9578 -20.1123 3.09363 -39.5438 8.38419 2.80751 -4.65091 -9.58211 3.34296 0.740738 -2.41834 -0.700054 -3.18038 -20.9308 31.799 ]
9,5.62463e+08,[-0.952454 -0.283529 0.0819241 -0.0794668 -23.7339 -33.4387 1.16096 -0.885239 -1.61011 0.780817 -0.660927 -5.06759 -4.44383 -4.05719 -11.6073 -37.397 8.60277 -5.99316 -26.098 -0.536797 -29.8585 -9.51292 2.1587 -13.6249 -1.14062 -0.326982 -12.8856 -28.7604 -1.0999 -38.4882 ]
10,2.60498e+08,[-8.14067 -0.851753 -1.06315 -2.34164 -16.4875 -0.873909 -14.8985 -22.8598 6.17729 -3.04005 -11.8386 -10.5664 0.350616 -0.387759 -0.169333 -0.506694 -0.998127 -2.82106 0.0332748 -22.4189 -30.3644 -4.25703 -22.7648 5.60751 -8.97073 -29.395 7.43654 2.44273 -4.90319 -39.1372 ]
11,1.10986e+08,[-5.29412 -7.24001 -6.85408 -0.95726 -14.6161 3.93817 -9.81567 -19.2939 -2.4302 0.232741 -10.5116 -18.6797 -17.1588 3.62583 -0.370639 -25.841 -3.35725 1.30044 0.831339 -0.124182 -3.37494 -1.74355 -1.91476 -2.51923 -3.07793 -19.2658 2.66591 -17.0117 6.8321 43.2991 ]
12,6.9024e+08,[-5.45045 -3.56604 -20.0861 -35.2929 7.26843 -30.3258 -39.5783 -4.22977 -12.1043 3.50873 -1.89028 -23.945 -16.5611 -22.9392 6.14654 -6.03316 2.55504 0.620248 -5.89368 -3.29008 0.261131 -30.5308 3.11308 0.62916 -5.77189 -6.36526 -11.5772 -19.1578 -11.5873 28.9543 ]
13,9.30379e+08,[-0.0981178 -7.93764 3.0717 -2.68473 -5.67228 -35.1073 -7.6826 -0.823531 -40.0775 -24.3434 -35.3302 8.575 1.36022 -24.5741 -0.349953 -1.73584 -3.09627 -7.32322 2.93049 -3.26504 -0.964723 -9.0816 2.44998 0.417424 -14.5169 4.78343 0.294885 -40.6107 -4.67531 -13.6208 ]
14,5.57649e+07,[0.0634223 -2.08461 -7.73054 0.521547 -0.0118962 -22.4463 -11.8121 -5.35906 -1.90882 0.208818 -2.92857 0.334044 0.0197088 -6.52908 2.10641 -5.25833 1.7604 0.0129833 -7.53711 -16.1781 2.08834 -11.6328 -1.2077 -8.03058 1.28025 -19.9124 -6.35524 -7.39429 7.02184 49.3856 ]
15,6.08077e+08,[-0.470094 -1.00887 0.0699482 -2.24433 -0.0887306 -34.2354 7.93659 -18.3245 -19.0016 4.19435 -2.00778 -26.1979 -5.84603 1.53985 0.605813 -1.04419 -5.61895 -3.83385 -2.80057 0.779018 0.2347 -7.91101 -44.7165 9.44825 0.479805 0.302146 -0.170878 -6.49383 6.15007 37.7063 ]
16,4.45923e+07,[-12.1058 -16.9629 -17.8172 -12.534 1.6999 0.177426 -12.8501 -3.07583 -0.161165 0.428068 -6.85492 -1.42092 -5.67975 2.57125 0.888153 -2.08052 -0.125127 -14.073 -6.27753 1.30109 -17.1201 4.24728 0.0302529 -3.97178 -4.78565 -13.4019 2.1573 -1.82824 5.27502 27.6014 ]
