Run#,Result,Solution
1,-17318,[-466.542 376.268 115.713 261.625 -487.194 392.452 406.009 155.82 258.738 -500 401.422 356.848 -339.611 -486.056 -406.268 -432.038 348.902 469.896 476.029 425.873 375.712 -370.924 -440.747 372.456 -104.425 427.529 446.447 -296.832 -474.664 388.513 ]
2,-17400.4,[390.822 408.595 426.489 170.429 264.077 -500 -270.367 481.613 17.7665 346.64 484.013 439.38 453.328 471.062 366.386 -370.199 -131.189 -314.396 -482.591 415.381 437.54 -308.844 -473.419 400.007 430.241 -295.707 -480.584 -392.96 -461.394 384.074 ]
3,-17755.3,[-374.85 -445.233 397.483 414.191 439.513 458.837 415.865 165.239 -107.829 405.06 -381.552 -448.995 393.866 410.935 -50.7209 353.734 482.405 433.102 445.7 -295.159 -460.958 -202.688 247.668 -481.938 378.823 -113.033 414.726 -317.122 -479.29 372.632 ]
4,-17001.7,[288.389 -500 266.844 -490.689 -421.835 361.212 495.602 -272.368 -197.068 -500 377.301 -382.578 -150.356 452.06 471.922 367.742 -363.718 -113.308 395.555 416.781 -395.489 -468.907 392.595 -379.962 92.0657 306.634 472.301 -305.497 -470.827 381.538 ]
5,-17062,[-500 -251.417 256.465 -479.951 392.708 -370.852 -439.351 343.432 458.247 463.421 419.037 -398.937 -473.354 392.561 -379.733 -452.246 -390.552 361.595 -113.653 457.308 -313.21 495.023 393.581 152.502 289.61 456.956 350.933 496.476 -275.252 280.777 ]
6,-18197.6,[457.963 413.905 433.785 466.863 422.32 436.848 321.451 467.456 359.144 -347.892 -416.01 -167.634 -500 410.195 428.23 -400.472 -155.563 415.036 431.869 445.726 458.784 -319.311 -498.206 382.866 136.682 -423.125 349.724 496.517 -275.451 -450.079 ]
7,-15989.9,[-456.306 355.866 495.489 446.319 -289.915 296.666 -179.637 430.191 440.127 447.512 178.992 300.626 -500 398.31 -381.619 -316.177 492.954 390.549 142.603 -150.919 -500 -4.29952 -314.616 -475.563 -399.912 -168.826 -500 363.89 248.779 261.925 ]
8,-17612.5,[-115.355 437.871 454.48 471.143 -311.254 -240.917 -265.576 -20.9789 393.603 405.91 -377.615 -144.563 90.1443 332.848 479.624 430.17 443.77 -394.065 -464.303 -399.873 -467.317 -383.419 -408.756 346.866 456.502 460.52 410.796 447.522 468.882 425.545 ]
9,-17441.8,[409.07 160.957 -448.604 387.601 -367.798 -386.846 -405.886 -473.997 377.252 -388.014 334.957 484.211 -312.275 188.279 -488.086 396.941 -376.984 -131.072 436.607 451.386 463.302 -297.405 -445.275 -470.304 -380.136 -448.858 387.917 -387.604 -415.365 -439.177 ]
10,-15116.6,[391.672 144.073 -443.434 377.088 -99.0302 417.835 431.786 166.977 -424.518 -449.796 335.096 484.942 435.692 181.122 -486.621 -416.565 89.6721 -384.384 -454.125 382.061 -422.604 73.0617 311.408 -495.742 -420.722 -348.486 185.939 -289.81 499.319 392.516 ]
11,-17483.6,[282.82 -486.781 399.311 414.8 423.807 429.749 -373.258 -396.321 -465.345 -381.555 204.945 -473.963 -399.491 440.911 -294.462 -476.917 386.813 -367.63 133.049 -428.829 -452.487 401.2 429.239 451.438 -308.591 -476.282 387.92 -84.0681 398.995 411.316 ]
12,-16251.9,[-482.932 402.423 419.473 -383.752 142.039 -116.715 418.949 163.433 277.875 434.368 451.485 -310.681 464.939 476.038 427.073 182.226 -271.251 482.625 12.8954 -115.239 410.512 423.331 431.11 441.01 454.202 -7.45239 353.808 496.654 -274.101 276.849 ]
13,-14790.5,[-178.904 -198.429 432.958 -382.779 -408.594 -429.984 -454.138 389.097 405.658 167.229 -259.319 303.2 486.709 -280.345 -445.027 -170.27 438.91 194.003 -478.519 -410.113 375.278 138.547 280.057 -215.384 274.721 -459.285 -366.74 -391.736 -412.913 -431.476 ]
14,-18271.1,[323.399 485.087 435.953 -372.847 -443.625 395.272 413.244 -372.913 136.755 -450.127 -378.995 -401.737 -469.774 22.9262 364.234 -358.875 -106.652 396.815 418.999 435.293 449.062 -10.5843 349.578 493.709 -276.345 -453.508 -377.98 -403.334 -428.892 376.248 ]
15,-15023.7,[403.965 156.153 283.233 -500 -256.595 472.869 11.2489 356.361 -368.533 -441.064 -395.704 -461.492 -484.982 404.387 421.958 -391.937 362.906 -411.114 94.9971 -401.177 -468.759 393.071 148.239 295.202 -500 -252.333 272.847 -479.522 -402.144 -425.971 ]
