Run#,Result,Solution
17,12852.6,[-0.0553744 -1.9951 -0.992135 -0.0578899 -7.09146 -9.93272 0.00907204 -0.0691071 -2.05548 -2.00634 -0.0700763 -3.02148 -0.00736699 -0.99259 -1.95543 -4.05065 -8.03237 -0.996376 -0.98864 -0.0364811 0.00417638 -7.00212 -0.0176312 -0.95262 -1.04388 -2.99745 0.0278473 -1.005 -1.98047 -24.321 ]
18,15788.5,[-1.94087 -2.96111 -0.985997 -0.0324621 0.0423648 -5.03815 -4.10804 -8.08272 -0.0432565 -3.15555 -2.10765 -0.925084 -11.3308 -0.028457 0.0186045 -1.03693 1.00809 -1.0709 -0.975969 -4.01754 -3.12322 -0.0602961 -1.98659 -1.92732 -0.0459727 -0.105854 0.928257 -0.0173895 -0.0732334 -3.94811 ]
19,-66230.8,[-1.0105 0.0171367 -1.04633 -2.9335 -0.0671142 -0.0391693 -0.993457 -2.99256 -0.0717726 -0.990401 -0.978777 -1.11421 0.0457096 -3.0339 -2.04918 1.00436 0.0151259 -0.937573 -1.98988 -0.00337744 -0.977761 -1.06527 -1.04417 -0.0433958 -1.94381 -1.00638 -1.94488 -0.964845 -1.07427 14.2416 ]
20,32295.5,[-2.97477 -2.06542 -0.998387 -6.02601 -0.00577235 -0.00717735 -1.03202 -0.0340879 -0.000492573 -0.0352879 -2.99597 -0.0194957 -0.915346 0.0171882 0.053781 -0.958513 -3.03618 -2.07635 -3.02791 -5.07983 -9.92473 -6.06803 -2.01056 -4.11546 -2.89398 -1.05471 -10.0521 -1.94849 -1.00182 7.44935 ]
21,54793.1,[-0.0215247 -3.93692 -0.993871 -2.03111 -0.0126816 0.029578 -2.07837 0.0546275 -1.05701 -1.047 -0.955029 -9.93244 -2.00784 0.0313561 -0.0728438 -1.02691 -9.98281 -0.905207 -2.0336 -0.992991 -6.0858 -1.04393 -0.00939894 -1.00042 -4.08566 -6.99068 -10.1695 -0.995613 -2.98887 -28.8935 ]
22,-18967.9,[-0.00849101 0.0396767 -4.92392 -0.00203568 -1.05747 -4.08171 -5.9721 -0.00658936 -0.0198219 -3.94909 -0.970939 -0.0162305 -2.00724 -0.947911 -2.02519 -2.01081 -6.04835 -3.11339 -0.978209 -1.02688 -0.0578861 -0.00616281 0.0198286 -5.05521 0.0255968 -3.996 -4.07213 -0.9815 -1.04063 4.49118 ]
23,-30570.1,[-1.98199 -6.09635 -1.02243 -2.03721 -0.946199 0.0255801 -4.00408 -1.02038 -2.06481 -1.07926 -0.999948 -3.02077 0.0365985 -3.97804 -1.02199 -1.04385 -0.0318333 -0.0612158 -2.99112 -2.0527 -1.04313 -5.97001 -2.96851 -0.00102782 -3.99063 -1.12472 -0.922943 -1.02448 -0.0286102 -1.7151 ]
24,2786.46,[-1.9917 -1.06384 -0.00656199 -4.99142 -0.0170751 -2.02818 -1.03269 -7.04887 -1.91656 -0.998343 -1.96825 -3.03233 -0.967898 -10.1883 -2.15537 -1.06819 0.00269675 -1.0987 -0.973577 -0.983997 -2.95791 -1.98059 0.0175006 -5.97033 -3.02406 -2.00116 -1.04512 -1.00362 -1.01024 -0.199487 ]
25,-38818.4,[-3.0651 -3.97738 -3.95425 -1.97291 -0.979249 -3.06702 -0.99383 -1.01784 0.0558332 -3.04598 -4.97549 -1.99528 0.96958 0.0730562 -0.00796008 -2.04947 -0.962536 -3.02517 -1.01363 -3.94869 0.0202283 -0.0446122 -1.03702 -4.04355 0.0569295 -0.965708 -0.0316849 -1.03909 -1.90444 -27.7059 ]
26,-27783,[-1.05442 -0.0408767 -0.993099 -0.00736517 -0.0249902 -0.965628 -1.06093 -4.09338 -1.01181 -3.06232 0.0785667 -1.11263 -0.974319 0.00517082 -0.0266847 -1.13224 0.995022 -1.94295 -4.93513 -1.06257 -0.0219513 -7.93741 -0.994795 -0.979742 0.0246522 -1.08249 -0.0335946 0.977453 -6.96168 -21.6667 ]
27,-38428.1,[-1.05513 -2.96522 -2.93107 -0.0427508 -0.999706 -0.9317 -3.03907 -6.1457 -1.0246 -0.0443869 -2.07463 -3.00724 -0.975602 -0.936036 -1.11506 0.0117785 0.00528049 -0.993258 -0.0412828 0.00872895 -0.975685 -5.94811 0.979181 -1.04455 -2.02494 -3.99017 0.00323951 -1.10219 -0.054125 -18.87 ]
