Run#,f best
1,[250.525 250.525 250.525 250.525 198.855 198.855 179.117 168.966 157.302 139.179 116.108 92.316 92.316 92.316 83.8579 83.8579 77.1012 77.1012 76.248 65.4897 63.6899 57.8038 57.706 42.1482 37.6683 37.6683 37.6683 31.0213 31.0213 27.1062 27.0832 25.0693 25.0693 23.6454 22.1813 19.9901 19.3022 18.1789 17.4103 17.4103 16.034 15.5364 15.5364 15.3624 14.6482 14.2418 13.35 13.0515 13.0515 13.0515 12.695 12.695 12.695 12.695 12.3991 12.3921 12.386 11.5335 11.5335 11.5335 11.5335 11.5335 11.1541 11.1237 10.4582 10.4582 10.4582 10.3002 10.0615 9.08738 9.08738 9.08738 9.08738 9.08738 9.08738 8.7451 8.7451 8.7451 8.7451 8.30282 8.30282 8.24971 8.24971 8.20699 8.20699 8.16215 8.15019 8.15019 8.14134 8.09862 8.04182 8.04182 8.04182 8.03086 8.03086 8.03086 7.91955 7.91955 7.91955 7.91955 7.91122 7.90216 7.88204 6.81779 6.81779 6.81779 6.81779 6.81779 6.81779 6.81779 6.81779 6.81779 6.81779 6.81779 6.81779 6.81779 6.81779 6.81779 6.81779 6.81779 6.81779 6.81779 6.81779 6.81779 6.81779 6.81779 6.81779 6.81779 6.81779 6.81779 6.81779 5.82789 5.82789 5.81225 5.81225 5.81225 5.80993 5.80731 5.75506 5.75506 5.75506 5.75447 5.3548 5.3548 5.3548 5.3548 5.3548 5.3548 5.3548 5.3548 5.3548 5.3548 5.3548 5.07858 5.06334 5.06334 5.06334 5.06275 5.01087 5.00862 5.00862 5.00862 5.00862 5.00862 5.00862 5.00862 5.00862 5.00862 5.00862 4.97398 4.97398 4.97398 4.97398 4.97398 4.97218 4.97159 4.97159 4.97159 4.96964 4.96964 4.96964 4.96964 4.96964 4.9689 4.9689 4.9689 4.9689 4.96749 4.96749 4.96749 4.96749 4.96749 4.96749 4.9661 4.9661 4.9661 4.9661 4.9661 4.9661 4.96413 4.96413 4.96413 4.96413 4.96413 4.96413 4.9641 4.9641 4.9641 4.9641 4.9641 4.96335 4.96335 4.96335 4.96335 4.96335 4.96335 4.96335 4.96335 4.96335 4.96335 4.96335 4.96335 4.96096 4.96096 4.96096 4.96096 4.96096 4.96096 4.96096 4.96096 4.96096 4.96096 4.96096 4.96096 4.95936 4.95936 4.95936 4.95936 4.95921 4.95921 4.95921 4.95921 4.95921 4.95921 4.95921 4.95921 4.95921 4.95921 4.95921 4.95921 4.95921 4.95921 4.95921 4.95921 4.95921 4.95903 4.95903 4.95903 4.95903 4.95903 4.95903 4.95903 4.95903 4.95903 4.95903 4.95903 4.95903 4.95903 4.95903 4.95903 4.95903 4.95903 4.95903 4.95903 4.95903 4.95903 4.95903 4.95903 4.95903 4.95903 4.95903 4.95903 4.95903 4.95903 4.95903 4.95903 4.95867 4.95867 4.95867 4.95867 4.95867 4.95867 4.95867 4.95867 4.95867 4.95867 4.95867 4.95867 4.95867 4.95867 ]
2,[211.577 211.577 178.86 178.86 178.86 152.614 136.615 129.494 103.259 103.259 87.3124 87.26 87.26 85.5576 73.9622 72.2519 67.618 60.5644 54.5148 54.5148 53.2738 53.2738 45.9439 45.9439 44.2892 43.6241 40.0554 40.0554 38.3668 38.0833 35.1642 24.8567 24.8567 24.8567 24.0551 23.9661 20.406 20.406 20.406 20.0143 18.6551 18.1046 18.1046 17.5931 14.9475 14.9475 14.9475 14.9475 14.9475 14.9475 14.2562 13.6108 13.6108 13.4594 13.4594 13.4594 13.4594 13.2629 13.0023 12.2152 11.4574 11.4207 9.76707 9.76707 9.76707 9.76707 9.76707 9.66779 9.55062 9.15207 8.70606 8.70606 8.4952 8.24507 8.17066 8.17066 7.75629 7.75629 7.74621 7.74071 7.59357 7.28889 7.28889 7.02154 6.63196 6.63196 6.63196 6.52802 6.38452 6.05513 6.05513 6.05513 5.70215 5.70215 5.70215 5.68283 5.64448 5.57383 5.2232 5.2232 5.2232 5.2232 5.11905 5.0031 5.0031 4.99298 4.99298 4.95548 4.93967 4.93967 4.93807 4.93807 4.93807 4.87205 4.87169 4.87169 4.87169 4.86452 4.84263 4.84263 4.83169 4.82759 4.82759 4.81346 4.81346 4.80058 4.80058 4.80058 4.80058 4.77736 4.77736 4.77736 4.77736 4.77736 4.77736 4.77546 4.77546 4.77546 4.77543 4.77543 4.77543 4.77543 4.77543 4.77543 4.77543 4.77468 4.77468 4.77468 4.77265 4.77265 4.77265 4.77265 4.77265 4.77072 4.76994 4.76994 4.76994 4.76994 4.76994 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 4.75974 ]
3,[252.417 164.703 164.703 164.703 164.703 164.703 125.374 125.374 119.166 119.166 118.676 95.2465 95.2465 95.2465 95.2465 83.1571 81.4964 81.464 75.2181 68.4932 68.4932 67.5633 66.4476 62.6997 57.1233 56.2973 53.6183 53.3957 53.3957 49.9222 49.9222 49.8373 45.8285 43.8593 43.8593 41.8665 38.9301 38.9301 37.8591 34.381 34.381 31.1302 29.321 29.321 24.1902 23.5387 21.998 21.998 21.998 21.457 21.2458 21.1739 20.5268 20.5268 19.4755 18.0702 18.0702 18.0702 18.0702 17.6982 17.5495 16.9375 16.8675 16.8675 15.6538 15.6538 15.6538 15.6538 15.4286 15.384 15.1621 15.0742 15.0046 14.7997 14.482 14.482 14.2431 14.0758 14.0758 13.1119 13.1119 13.1119 13.1119 12.7468 12.5493 12.5493 12.5493 12.4849 12.4849 12.3478 12.297 12.297 12.1363 12.0499 12.0459 11.9816 11.9816 11.8523 11.8523 11.8523 11.8523 11.8408 11.7863 11.7797 11.7315 11.7315 11.7315 11.7315 11.7315 11.7315 11.7046 11.6465 11.6465 11.6465 11.5476 11.5476 11.5137 11.5137 11.5137 11.5137 11.4868 10.7972 10.7972 10.7972 10.7972 10.7702 10.6132 10.5863 10.5863 10.5863 10.5716 10.5716 10.5635 10.5635 10.5635 10.5635 10.5635 10.5581 10.5581 10.5581 10.5581 10.5581 10.5578 10.5578 10.5578 10.5578 10.5578 10.5525 10.5525 10.5124 10.5124 10.5124 10.5124 10.5124 10.5124 10.5124 10.5124 10.5124 10.5124 10.5124 10.5124 10.5124 10.5124 10.5124 10.5124 10.5124 10.4975 10.4975 10.4975 10.492 10.4866 10.4866 10.4866 10.4866 10.4845 10.4845 10.4845 10.4845 10.4845 10.4845 10.4845 10.4845 10.4845 10.4845 10.4845 10.4845 10.4845 10.4845 10.4845 10.4845 10.4845 10.4845 10.4845 10.4845 10.483 10.483 10.483 10.4815 10.4815 10.4815 10.4815 10.4815 10.4815 10.4815 10.4815 10.4815 10.4805 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.473 10.443 10.443 10.443 10.443 10.443 10.443 10.443 10.443 10.443 10.443 10.443 10.443 10.443 10.443 10.443 10.443 10.443 10.443 10.443 10.443 10.443 10.443 10.443 10.443 10.443 ]
4,[247.855 247.855 247.855 219.351 187.874 187.743 169.315 169.315 155.901 131.539 119.415 119.415 119.354 81.9241 81.9241 81.9241 81.9241 76.2415 63.4196 63.4196 63.4196 57.2683 57.2683 55.3012 54.5291 54.5291 44.534 44.4369 43.0594 40.759 40.759 37.6346 37.4979 36.8829 33.5132 33.258 30.9151 30.9151 30.5615 27.0951 26.0259 24.8913 24.2997 23.3546 22.6322 21.8946 20.564 20.558 17.5375 17.5375 17.5375 17.5375 16.4633 16.4633 16.4005 15.6456 15.6456 15.6456 15.3736 15.18 14.9061 14.5205 14.1268 13.7549 13.3818 13.3818 12.9076 12.9076 12.9076 12.5719 12.5719 12.5719 12.2197 12.186 12.0877 12.0877 12.0877 12.0877 11.759 11.759 11.759 11.759 11.759 11.759 11.759 11.7118 11.6093 11.6093 11.5485 11.5485 11.5485 11.5485 11.5485 11.5485 11.5485 11.5343 11.5343 11.5256 11.5216 11.4993 11.2326 11.2326 11.2326 11.2326 11.2326 11.2326 11.2326 11.2326 11.2326 11.2326 11.2326 11.2326 11.2326 11.2326 11.1487 11.1487 11.1487 11.1487 11.1487 11.1487 11.1487 11.1487 11.1245 11.1245 11.114 11.114 11.114 11.1085 11.1085 11.1085 11.0998 11.0998 11.0912 11.0912 11.0735 11.0735 11.0735 11.0735 11.0735 11.0735 11.0735 11.0735 11.0716 11.0684 11.0684 11.0684 11.0684 11.0684 11.0684 11.068 11.068 11.068 11.0677 11.0677 11.0672 11.0648 11.0648 11.0648 11.0648 11.0639 11.0639 11.0639 11.0639 11.0639 11.0639 11.0639 11.0639 11.0639 11.0639 11.0639 11.0639 11.0639 11.0639 11.0639 11.0639 11.0639 11.0581 11.0581 11.0581 8.77589 8.77589 8.77006 8.77006 8.77006 8.76947 8.76947 8.76947 8.67708 8.67708 8.67708 8.67708 8.67708 8.67708 8.25068 8.25068 8.25068 8.25068 8.2427 8.2427 8.24211 8.24211 8.24211 8.24211 8.24211 8.24211 8.24211 8.24211 8.24211 8.24211 8.24211 8.24211 8.24197 8.24189 8.24189 8.24189 8.24189 8.24189 8.24189 8.24189 8.24189 8.24189 8.241 8.241 8.241 8.241 8.241 8.241 8.24084 8.24084 8.24084 8.24084 8.24084 8.24084 8.24084 8.24084 8.24084 8.24084 8.24084 8.24084 8.24084 8.24084 8.24084 8.24084 8.24084 8.24084 8.24084 8.24084 8.23691 8.23691 8.23691 8.23691 8.23691 8.23691 8.23691 8.23691 8.23691 8.23691 8.23691 8.23691 8.23691 8.23691 8.23691 8.23691 8.23691 8.23678 8.23678 8.23678 8.23676 8.23676 8.23676 8.23676 8.23676 8.23676 8.23676 8.23676 8.23676 8.23676 8.23676 8.23676 8.23656 8.23656 8.23656 8.23656 8.23656 8.23656 8.23656 8.23656 8.23656 8.23656 8.23656 8.23656 8.23656 8.23656 8.23656 8.23656 8.23656 8.23656 8.23656 8.23656 8.23656 ]
5,[251.638 198.664 198.664 198.664 181.785 179.153 179.153 179.153 165.208 124.971 124.971 124.971 113.117 113.117 113.117 103.497 85.8125 85.7411 84.2966 78.4757 78.4757 70.2487 68.5084 67.1446 58.2798 58.0958 54.2904 50.4795 49.5897 48.1628 38.6427 38.6427 38.6427 38.6427 33.5137 33.5137 33.5137 33.5137 33.5137 32.2479 29.6251 27.6837 27.6837 26.2128 25.0112 25.0112 23.4421 21.33 20.4531 19.903 19.1583 18.7699 17.4633 16.8003 16.6515 13.5529 12.2956 12.2956 12.2201 12.2201 12.2201 11.7931 11.7931 10.9051 10.3448 10.1892 10.1736 9.02786 9.02786 7.20557 7.20557 7.20557 7.20557 7.20557 7.20557 7.01262 6.76574 6.52129 5.81962 5.81962 5.39486 5.39486 5.39486 5.32012 4.9021 4.74074 4.70805 4.70805 4.70805 4.05621 3.84368 3.84368 3.84368 3.82721 3.60578 3.60578 3.2458 3.2458 3.2458 3.2458 2.97089 2.97089 2.97089 2.97089 2.89216 2.89216 2.85043 2.82986 2.79511 2.79511 2.7321 2.7321 2.66152 2.66152 2.66152 2.66152 2.6611 2.6611 2.6611 2.6611 2.6611 2.6588 2.6588 2.6588 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 2.51753 ]
6,[238.41 188.044 188.044 188.044 183.438 162.527 162.527 145.772 137.322 137.322 125.899 109.707 109.707 101.836 98.5042 82.8543 82.8543 79.2723 79.2723 68.9298 64.6229 55.5857 55.5857 43.7928 43.7928 43.7928 40.6003 40.6003 39.4768 37.0893 37.0893 36.5855 36.5855 31.1476 31.1476 31.1476 29.6113 28.1035 24.913 20.4993 20.4993 20.4993 20.4993 20.4993 19.0639 18.0527 18.0527 18.0527 17.3019 17.2985 16.8938 16.4123 16.4123 16.4123 16.0693 16.0236 15.1515 15.1515 15.0503 14.874 12.8752 12.8752 12.8752 12.8752 12.1581 12.1581 12.1581 12.1581 12.1581 12.1114 8.40189 8.40189 8.32571 7.22945 7.22945 7.06484 7.06484 6.53313 6.49249 6.38223 6.38223 6.06941 5.92714 5.92714 5.56852 5.56852 5.08947 5.08662 5.08662 5.00317 5.00317 5.00317 4.96376 4.71783 4.66904 4.66904 4.66904 4.565 4.54333 4.54333 4.51487 4.51487 4.17897 4.09849 4.09849 4.09849 4.09849 4.09849 4.01601 4.01066 4.00227 3.88781 3.88781 3.84606 3.84606 3.84606 3.80532 3.79198 3.77488 3.71571 3.71571 3.71571 3.71571 3.64707 3.64707 3.64707 3.62207 3.62207 3.55096 3.55096 3.53739 3.51327 3.47974 3.47974 3.47974 3.47891 3.47891 3.47891 3.47891 3.47891 3.47854 3.47854 3.46613 3.46613 3.4653 3.4653 3.4653 3.4653 3.4653 3.4641 3.4641 3.46152 3.46152 3.46152 3.46152 3.46069 3.45949 3.45949 3.45812 3.45812 3.45648 3.45648 3.45648 3.45524 3.45484 3.45484 3.45484 3.45484 3.45457 3.45457 3.45457 3.45335 3.45335 3.4527 3.45243 3.45171 3.45171 3.4507 3.4505 3.4505 3.4505 3.44951 3.44951 3.44951 3.44951 3.44951 3.44951 3.44951 3.44812 3.44812 3.44785 3.44517 3.44517 3.44517 3.44517 3.44517 3.44517 3.44517 3.44517 3.44517 3.44517 3.44517 3.44517 3.44517 3.44517 3.44517 3.44517 3.44517 3.44517 3.44517 3.44517 3.44517 3.44517 3.44517 3.44517 3.44517 3.44517 3.44493 3.44422 3.44422 3.44396 3.44396 3.44394 3.44337 3.44337 3.44337 3.44337 3.44103 3.44103 3.44103 3.44045 3.44045 3.44045 3.44045 3.44045 3.44045 3.44045 3.44045 3.44045 3.44045 3.44045 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 3.44007 ]
7,[251.605 251.605 251.605 181.464 181.464 181.464 181.464 161.606 149.649 149.649 127.793 117.278 115.123 114.977 94.1278 84.263 72.0143 67.9417 67.9417 67.9417 62.1269 56.7115 52.2156 47.4896 43.8141 37.8911 33.9893 33.9893 31.0099 31.0099 31.0099 31.0099 23.9713 23.9713 23.9713 23.9713 19.8779 19.4578 19.4578 18.4693 17.5952 16.2073 13.6887 13.6887 12.2056 12.1642 12.0634 11.8674 10.2276 10.1569 9.09023 8.75542 8.75542 8.62753 8.06829 8.06829 7.44353 7.17923 6.19008 6.19008 6.0812 4.9735 4.9735 4.96329 4.96329 4.59927 4.25017 4.25017 4.25017 4.25017 4.25017 4.14154 4.08444 4.08444 4.05354 3.78206 3.65254 3.65254 3.59762 3.05528 3.05528 3.05528 3.05528 2.86139 2.75924 2.67799 2.67799 2.67799 2.67799 2.67799 2.58978 2.58221 2.58221 2.55043 2.53112 2.47412 2.4711 2.44745 2.44288 2.41362 2.38566 2.38566 2.34292 2.34292 2.34292 2.32261 2.32261 2.26281 2.26281 2.26281 2.26281 2.26281 2.26281 2.26281 2.26281 2.2587 2.2587 2.2587 2.24708 2.24708 2.24708 2.24708 2.24708 2.24708 2.24708 2.24183 2.24183 2.24183 2.24183 2.22888 2.22888 2.22888 2.22888 2.22888 2.22888 2.22888 2.21651 2.21651 2.21651 2.21039 2.20987 2.20711 2.2068 2.20367 2.20069 2.05391 2.05062 2.05062 2.05062 2.04436 2.04092 2.03793 2.03793 2.03465 2.03465 2.03428 2.03428 2.03428 2.03428 2.02563 2.02563 2.02563 2.02257 2.02257 2.02257 2.02257 2.01514 2.01514 2.01514 2.01514 2.00697 2.00697 2.00697 2.00612 2.00612 2.00612 1.99803 1.99803 1.99803 1.99803 1.99718 1.99718 1.99667 1.99667 1.99667 1.99667 1.99667 1.99667 1.99667 1.99667 1.99667 1.99667 1.99667 1.99667 1.99667 1.99667 1.99667 1.99667 1.99667 1.99667 1.99667 1.99604 1.99604 1.99604 1.99604 1.99604 1.99604 1.99604 1.99604 1.99604 1.99604 1.99604 1.99604 1.99604 1.99604 1.99604 1.99604 1.99595 1.99595 1.99595 1.99595 1.99595 1.99585 1.99585 1.99585 1.99585 1.99576 1.99576 1.99576 1.99576 1.99576 1.99576 1.99576 1.99576 1.99576 1.99576 1.99576 1.99576 1.99576 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 1.99294 ]
8,[212.837 185.789 185.789 185.789 133.604 133.604 133.604 132.702 118.227 105.963 105.963 105.963 86.017 86.017 85.3657 83.5481 45.0384 45.0384 45.0384 45.0384 45.0384 45.0384 45.0384 45.0384 45.0384 45.0384 39.8918 39.8918 37.3808 37.3808 37.2143 32.4206 31.2305 30.9718 30.6398 29.3294 25.6108 25.0933 25.0018 24.8311 22.4991 22.4991 21.6288 21.1325 20.8404 20.8404 20.3418 20.3418 18.8885 18.8885 18.8885 18.8885 18.8885 18.3345 16.2963 16.2549 15.9482 13.9833 12.9348 12.9348 11.6314 10.374 10.374 10.374 10.374 10.374 10.2 9.73104 9.73104 9.404 9.20008 8.81627 8.36125 7.79935 6.85672 6.41894 6.41894 6.41894 6.35088 6.23041 5.82968 5.82968 5.51787 5.51787 5.44885 5.43298 5.42363 5.29183 5.08737 5.08737 4.94945 4.80723 4.64912 3.83598 3.83598 3.83598 3.83598 3.79253 3.79253 3.79253 2.84108 2.84108 2.84108 2.84108 2.65778 2.65778 2.54913 2.54913 2.48619 2.48619 2.48619 2.48619 2.44086 2.44086 2.42884 2.42456 2.37843 2.33437 2.33437 2.31043 2.31043 2.26904 2.26904 2.26904 2.26637 2.26632 2.22276 2.22276 2.22276 2.22276 2.22276 2.22276 2.22276 2.20137 2.20137 2.20137 2.20137 2.20137 2.19445 2.19265 2.19265 2.19265 2.19265 2.1907 2.1907 2.17903 2.17903 2.17903 2.17903 2.17903 2.17877 2.1786 2.1786 2.17682 2.17031 2.16891 2.15643 2.15643 2.15448 2.15448 2.15448 2.15448 2.15448 2.15431 2.15234 2.15234 2.15234 2.15097 2.15003 2.15003 2.15003 2.15003 2.14986 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14883 2.14556 2.14556 2.14556 2.14551 2.14551 2.14551 2.14546 2.14546 2.14546 2.14546 2.14546 2.14546 2.14546 2.14541 2.14541 2.14541 2.14541 2.14541 2.14541 2.14526 2.14526 2.14526 2.14526 2.14526 2.14526 2.14526 2.14526 2.14526 2.14526 2.14526 2.14526 2.14526 2.14526 2.14526 2.14526 2.14526 2.14526 2.14526 2.14526 2.14526 2.14526 2.14526 2.14526 2.14526 2.14526 2.14526 2.14526 2.14505 2.14505 2.14505 2.14505 2.14505 2.14505 2.14505 2.14505 2.14505 2.14505 2.14505 2.14505 2.14505 2.14505 2.14505 2.14498 2.14498 2.14498 2.14498 2.14498 2.14373 2.14373 2.14373 2.14373 2.14365 2.14365 2.14365 2.14365 2.14365 2.14365 2.14365 2.14365 2.14365 2.14365 2.14365 ]
9,[236.969 236.969 236.969 172.603 172.603 172.603 172.603 172.603 141.459 136.398 136.398 124.088 119.412 97.258 87.8294 87.8294 83.6402 81.6206 78.1264 73.8697 66.6259 65.6273 58.1683 58.1683 58.1683 57.5956 57.5956 48.7879 48.7879 43.3521 43.3521 42.5404 41.2904 37.7784 34.2611 33.9998 31.3009 26.7369 26.7369 25.6645 25.1288 25.1288 25.1288 24.2664 23.1034 23.1034 22.6834 22.6834 22.6583 22.6583 22.6583 20.4652 20.4652 20.4652 20.4652 20.4652 20.4652 20.4652 20.4652 20.3309 19.9047 19.9047 19.6071 19.1121 19.1121 19.1121 19.1121 18.8679 18.7964 18.3552 18.3552 18.3552 18.3552 18.3552 18.1646 17.9736 17.9436 17.8626 17.8626 17.8626 17.8626 17.8626 17.4511 17.4508 17.4508 17.4508 17.4173 17.0288 17.0058 16.9849 16.9849 16.9849 16.7235 16.7235 16.7235 16.7235 16.7235 16.7235 16.7235 16.7235 16.7235 16.7235 16.7235 16.7235 16.7235 16.7235 16.7235 16.7235 16.7235 16.7235 16.7235 16.7235 16.6438 16.6438 16.6438 16.1844 16.1844 16.1537 16.146 16.0569 16.051 15.7808 15.7716 15.7716 15.7716 15.7156 15.7156 15.7156 15.7156 15.7094 15.7053 15.7053 15.6991 15.6991 15.6991 15.6991 15.6991 15.6991 15.6991 15.6991 15.6991 15.6991 15.6991 15.6991 15.6991 15.6955 15.6955 15.6955 15.6955 15.6955 15.6955 15.6955 15.6955 15.6955 15.6465 15.6465 15.6465 15.6465 15.6465 15.6465 15.6384 15.6384 15.6384 15.6384 15.6384 15.6384 15.6384 15.6384 15.6384 15.6197 15.6197 15.6197 15.6162 15.6152 15.6152 15.6152 15.6152 15.6152 15.6152 15.6152 15.6152 15.6152 15.6152 15.6152 15.5228 15.5228 15.5228 15.5228 15.5228 15.4993 15.4993 15.4993 15.4964 15.4964 15.4964 15.4964 15.4959 15.4959 15.4069 15.4069 15.3957 15.3957 15.3957 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3922 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 15.3915 ]
