Run#,Result,Solution
17,-3.63797,[1.5453 -1.36247 -1.06194 -1.16825 -1.04647 -10.5141 -7.85079 -4.28962 -4.52194 -1.10382 -1.2705 -4.30945 -1.40986 -1.11551 -1.14689 -1.22806 -1.45697 -1.5903 -7.47989 -7.78418 -4.59996 -1.2149 -1.29856 -4.51979 -1.15679 -7.38535 -1.15562 -1.1266 -4.31943 -1.02507 ]
18,-12.205,[-1.53399 -4.20684 -1.39588 -10.5637 -1.36368 -1.12589 -4.19726 -1.15669 -1.36836 -1.13939 -1.14562 -4.33153 -4.40547 -7.91941 -1.35128 -1.17024 -7.65137 -4.22366 -1.11861 -1.11116 -1.25631 -4.68815 -4.23979 -1.07845 -4.27957 -1.37909 -1.25462 -1.29005 -1.16774 -0.758754 ]
19,-18.6927,[-7.76695 -1.16773 -4.13223 -1.37357 -4.20664 -4.20265 -1.26067 -1.15035 -4.19696 -1.20844 -1.1938 -1.54629 -1.33977 -10.6043 -1.13262 -1.11635 -1.02407 -1.11446 -7.42232 -1.1515 -1.1728 -1.15892 -1.06497 -1.74315 -1.21831 -1.11945 -4.22116 -4.15957 -4.79745 -0.789631 ]
20,-21.0695,[-1.48515 -1.13 -4.56638 -4.25038 -1.14959 -1.25514 -4.38812 -4.20019 -1.13847 -4.21613 -1.76719 -1.40546 -4.54195 -4.25767 -7.5056 -1.46492 -1.11629 -4.22707 -1.41044 -1.75016 -1.10978 -1.1191 -1.35459 -1.10658 -1.48462 -1.27775 -4.21968 -1.30055 -4.40063 -1.09954 ]
21,-49.825,[-2.02888 -1.24034 -4.44307 -1.263 -1.4481 -1.22706 -1.26924 -1.12264 -1.25006 -0.967062 -1.29415 -1.5997 -1.3822 -1.01301 -1.17749 -1.11346 -1.27636 -1.1658 -7.34431 -1.17526 -1.42825 -1.17054 -1.37491 -4.16629 -1.11695 -1.02821 -4.15072 -4.27923 -1.41022 -0.796038 ]
22,-42.8337,[-1.49253 -1.41636 -4.1997 -1.04335 -1.1893 -1.15052 -1.11982 -4.98733 -7.23822 -1.51029 -1.32365 -1.11362 -1.24269 -4.1812 -1.75673 -1.17491 -1.18502 -1.14457 -1.40992 -1.28557 -1.12829 -1.11218 -1.2165 -4.15584 -1.14781 -1.33991 -4.49836 -1.0812 -1.21928 -0.78246 ]
23,-68.2768,[1.51017 -1.11651 -1.09845 -1.5143 -1.13503 -1.23629 -1.41852 -1.22908 -1.26998 -1.17174 -1.0646 -4.50795 -1.10864 -1.37862 -1.18545 -1.25792 -1.38047 -1.13405 -1.15543 -1.0064 -1.37315 -1.15576 -1.10712 -1.12248 -4.3415 -1.62195 -1.18222 -1.38355 -1.28628 -0.901596 ]
24,-31.6629,[1.55164 -1.16374 -4.31861 -1.36487 -1.69324 -4.25972 -1.24116 -4.47162 -4.22499 -1.46073 -1.10388 -1.09698 -1.2634 -4.36541 -1.42545 -1.26602 -1.27579 -1.29607 -7.55211 -1.17708 -1.71265 -1.28522 -7.87699 -1.5108 -1.12858 -1.12135 -1.18198 -1.1713 -1.19493 -0.924509 ]
25,-17.4294,[-1.98242 -1.11837 -10.6832 -1.13469 -4.2733 -4.25236 -4.27352 -4.28547 -1.1561 -1.0903 -1.11302 -4.24221 -1.29368 -1.08237 -1.12173 -1.09184 -4.39902 -1.25494 -4.23917 -4.23679 -1.17391 -0.984487 -1.74181 -1.39392 -1.22343 -1.19057 -7.90787 -1.02866 -1.14668 -4.14894 ]
26,-24.1471,[-1.5015 -1.07571 -1.04019 -1.05221 -4.46685 -10.8462 -1.21199 -4.27108 -1.08675 -1.32934 -1.1259 -1.88005 -1.53294 -1.16483 -7.79487 -4.93481 -4.33165 -1.1347 -1.02194 -1.38264 -1.13903 -1.21547 -1.09198 -1.40473 -1.27452 -4.26762 -4.35011 -1.05307 -1.24119 -0.926844 ]
27,-10.9973,[-1.40125 -1.24647 -1.12753 -4.91906 -1.26628 -1.17268 -13.9856 -4.81917 -1.17367 -7.51732 -1.15537 -1.22285 -1.03419 -1.43259 -0.962507 -1.30738 -4.52312 -1.10338 -1.17406 -1.22395 -4.4037 -1.1337 -4.29052 -7.42761 -1.30052 -1.05673 -1.80582 -1.39526 -1.09882 -1.19075 ]
28,-48.571,[-7.89878 -1.17933 -1.16308 -1.06048 -1.15881 -7.70989 -1.03674 -1.20062 -1.36885 -1.48069 -1.02772 -1.04413 -0.958397 -1.1641 -1.45924 -1.12994 -1.30397 -1.12063 -1.31124 -4.56533 -4.2836 -1.09702 -1.2898 -4.19931 -1.29896 -1.02423 -1.72848 -1.24525 -1.25106 -1.03059 ]
29,-5.27519,[-1.7867 -4.5717 -4.92204 -1.52685 -1.08297 -1.05342 -1.03353 -1.57488 -1.13287 -7.8698 -1.33785 -1.17043 -4.67173 -4.20929 -1.15059 -7.40871 -1.17072 -1.22322 -4.2334 -14.2224 -1.41344 -4.39711 -1.03727 -1.36303 -1.06767 -1.11445 -1.56749 -1.17847 -1.10772 -0.864841 ]
30,-40.4927,[-1.78876 -4.71655 -1.04774 -1.21992 -1.19112 -1.33801 -1.39619 -1.10432 -1.10386 -7.34943 -1.18476 -1.48088 -1.82392 -1.16935 -1.80069 -1.31255 -1.40281 -1.06483 -1.16124 -1.19185 -1.1811 -1.12055 -4.42714 -1.20385 -1.22876 -1.16741 -7.9539 -1.21134 -1.23507 -0.953926 ]
31,-56.1825,[-4.64016 -1.33513 -1.80913 -1.40484 -1.22058 -1.17578 -1.237 -1.15477 -1.8689 -1.07052 -1.32253 -1.12278 -1.42549 -1.69326 -7.51178 -1.45156 -1.38644 -1.04384 -1.6567 -1.21156 -1.16086 -1.18227 -1.06045 -1.15766 -1.11954 -1.22913 -1.24859 -1.17569 -1.17013 -0.907384 ]
32,-10.2678,[-1.46391 -1.14615 -1.34207 -4.61399 -1.4692 -7.57788 -4.36276 -4.45107 -4.41181 -1.11369 -1.26101 -1.0564 -1.2667 -1.00456 -1.25683 -1.25183 -4.36137 -4.68205 -7.48488 -1.63136 -1.18207 -1.43086 -1.17635 -1.21662 -1.24561 -4.44234 -1.04238 -13.8053 -1.19889 -1.01515 ]
33,-24.6544,[-1.91 -10.487 -4.34107 -1.19847 -1.50399 -7.81977 -1.2494 -1.12988 -1.3007 -1.26153 -1.18307 -7.41328 -1.2443 -1.0856 -1.52284 -1.20555 -1.1416 -4.92494 -1.52971 -1.14743 -1.26928 -0.981223 -1.24218 -1.24968 -4.54963 -1.12035 -1.13879 -1.07576 -1.18065 -4.24303 ]
34,-58.0534,[-1.84204 -1.29362 -1.15911 -1.17525 -1.77821 -1.17972 -1.21532 -1.1619 -1.02381 -1.25994 -5.00678 -1.01683 -1.19466 -1.36446 -1.25384 -1.28852 -1.16154 -1.21756 -1.43666 -1.57415 -1.36951 -1.14226 -1.09061 -1.06103 -4.58811 -1.20448 -1.65096 -1.39756 -1.17673 -1.10979 ]
35,-27.6016,[-1.4973 -1.52893 -1.17148 -1.1122 -4.33629 -1.23453 -1.16823 -4.37331 -1.26325 -1.16871 -1.3731 -1.12823 -1.16796 -1.16445 -1.82934 -1.27239 -1.1102 -1.24751 -4.25026 -10.4948 -1.14534 -1.63836 -1.03275 -4.2313 -4.29699 -7.37724 -1.25259 -4.52678 -1.19023 -1.01399 ]
36,-39.5794,[-4.82158 -1.20209 -1.14042 -1.25749 -1.11329 -1.10951 -1.12219 -1.37966 -1.46822 -1.13035 -1.04401 -4.41987 -1.09143 -1.09496 -1.32159 -1.05525 -7.80259 -1.09881 -7.37583 -1.12397 -1.21211 -7.57861 -1.15799 -1.20474 -1.1515 -1.41942 -1.1278 -1.16375 -1.14401 -7.1417 ]
37,-30.4604,[-4.63252 -1.70947 -1.32679 -4.13368 -4.19186 -1.20273 -1.14519 -1.41022 -4.47067 -1.16913 -1.12278 -1.12449 -1.206 -1.16008 -1.21247 -1.45624 -1.22587 -1.44693 -1.14726 -4.14533 -7.48347 -1.55151 -7.38887 -1.27187 -1.14936 -4.17278 -1.26842 -4.42289 -1.28759 -0.667453 ]
38,-42.9552,[-14.4662 -4.85042 -1.38334 -1.13861 -1.25816 -1.36702 -1.11832 -1.26365 -1.21429 -1.12012 -4.27522 -1.68594 -4.48532 -1.08081 -1.19272 -1.09745 -4.23973 -1.22342 -1.23228 -1.2018 -1.13952 -4.32868 -1.55649 -1.29244 -1.21223 -1.41568 -1.37374 -1.15534 -1.27872 -0.699372 ]
39,-16.1454,[-1.56444 -10.6547 -1.22793 -1.12659 -1.15297 -4.6529 -1.12776 -7.67528 -1.46405 -1.02116 -1.14133 -4.28735 -1.10583 -1.14821 -1.2978 -1.0252 -1.16634 -7.56368 -1.36415 -1.14515 -7.81338 -1.13046 -1.13136 -7.40809 -1.42708 -1.23963 -1.05043 -1.12023 -1.14733 -1.02508 ]
40,-25.4965,[-1.47593 -1.10399 -1.10294 -1.16951 -1.09166 -1.12829 -1.33971 -1.20477 -1.27366 -1.27992 -1.18533 -1.11354 -1.45036 -1.20722 -8.06835 -1.36815 -1.21615 -7.54785 -1.1733 -1.27062 -1.17442 -7.36003 -1.18532 -4.81884 -4.25244 -1.44291 -8.03594 -1.13385 -1.05285 -0.630155 ]
41,2.22715,[-4.82509 -1.13388 -4.34601 -1.33736 -1.32592 -1.36521 -1.29101 -1.41208 -1.69811 -1.20059 -1.10638 -4.18726 -1.1629 -1.74704 -1.30255 -4.76282 -1.16367 -1.0962 -23.1653 -4.69576 -1.39986 -1.14859 -1.13482 -10.6657 -1.22174 -1.12617 -1.0788 -1.19082 -1.33263 -7.35559 ]
42,-41.6902,[-1.91053 -1.65862 -1.3446 -1.05443 -1.35565 -7.27763 -1.03459 -1.48051 -1.19115 -4.37349 -1.18186 -1.49037 -1.12896 -1.03412 -1.1654 -1.64099 -1.20866 -4.4521 -4.46246 -1.43092 -1.04759 -1.64636 -1.38446 -1.07314 -1.42683 -4.67584 -1.23646 -1.23354 -1.3601 -0.960252 ]
43,-58.2746,[-1.51015 -1.16616 -1.16276 -1.2085 -1.30293 -0.967365 -4.41868 -4.26337 -4.3586 -4.26385 -1.07718 -1.00433 -1.12225 -7.33171 -1.2867 -1.11353 -1.15085 -1.11819 -1.03692 -1.42874 -1.11127 -1.15686 -1.28303 -1.11731 -1.26264 -1.18004 -1.07965 -1.10143 -1.11758 -0.789882 ]
44,-46.1745,[-1.59184 -1.61731 -1.10465 -1.28235 -1.32873 -4.15616 -1.16964 -1.51052 -7.41227 -4.32402 -1.09168 -1.18582 -1.41886 -1.14683 -1.04569 -1.42418 -4.48262 -1.31742 -1.26524 -1.08673 -1.06577 -1.24318 -1.18622 -1.10745 -1.48503 -4.52699 -1.12293 -4.33382 -1.16385 -0.716516 ]
45,-25.7258,[-1.50642 -1.24708 -1.15465 -1.45375 -1.62881 -4.79626 -7.51167 -4.3371 -1.61107 -1.29167 -5.00028 -1.12147 -1.03603 -1.44864 -1.14807 -1.30146 -4.83663 -1.3088 -1.14693 -4.27868 -1.16969 -1.1387 -1.18668 -1.28533 -1.46018 -0.898315 -1.34562 -1.4303 -7.70665 -0.689811 ]
46,-12.2519,[-2.18114 -1.75795 -1.17179 -1 -1.20663 -7.68414 -1.09877 -1.23679 -4.27876 -1.04005 -1.17238 -4.35038 -1.07691 -4.31785 -1.02942 -1.14043 -1.19283 -1.1597 -0.989659 -4.30538 -4.48006 -1.23203 -10.4386 -7.72554 -4.26032 -1.36847 -1.23935 -4.38513 -1.75783 -0.906641 ]
47,-30.2254,[-1.57102 -1.0894 -1.0746 -1.14646 -4.24979 -1.20239 -1.22054 -0.994051 -0.791196 -1.05622 -1.16462 -1.18617 -1.35083 -4.36806 -7.52222 -1.10875 -1.10355 -1.21004 -7.57175 -4.17264 -1.38955 -1.17523 -1.14446 -1.11681 -7.35064 -1.1438 -7.70351 -1.33125 -1.1937 -3.86594 ]
48,-47.0418,[-7.88107 -4.2461 -1.11368 -1.1263 -1.20256 -1.21736 -1.27048 -1.35316 -1.151 -1.16695 -1.13449 -4.95446 -1.36666 -1.52038 -1.1187 -1.24427 -4.20059 -1.13291 -1.14582 -1.06005 -1.13167 -4.21702 -1.14987 -1.01563 -1.44407 -1.19489 -1.37183 -4.33863 -4.2435 -0.986416 ]
49,-20.5542,[-1.42739 -1.14517 -1.34742 -1.23125 -4.43662 -4.40495 -4.31298 -4.2242 -1.04949 -0.979267 -1.20421 -4.76844 -1.26322 -1.17736 -1.05816 -1.12424 -1.63189 -1.36346 -4.19889 -1.12414 -1.18547 -10.6397 -1.19132 -1.34853 -1.39134 -4.63982 -1.31375 -4.27123 -1.22333 -10.2933 ]
50,-20.1622,[-1.48925 -1.63794 -1.64838 -1.11615 -4.29644 -1.31618 -4.66322 -4.51719 -1.20844 -1.10642 -1.20023 -4.47075 -1.20683 -1.13709 -1.24169 -10.6609 -4.27944 -1.32682 -1.30381 -7.57077 -1.24188 -1.10487 -1.23051 -4.24164 -4.29491 -1.13186 -1.14971 -1.08296 -1.44881 -4.26161 ]
