Run#,Result,Solution
20,-27.3349,[2.19628 1.53951 1.26486 1.10198 0.994947 1.56987 1.42894 1.35321 1.65491 1.21799 1.15335 0.646282 1.37266 1.56897 1.5148 1.66593 1.42118 1.56955 0.493456 1.11185 1.2798 1.41703 1.67101 1.50329 1.17478 1.44381 1.28104 1.62537 1.48569 1.21452 ]
21,-27.0688,[2.0952 1.57104 1.29179 1.11402 1.7139 0.908106 1.43684 0.788359 1.28372 1.56681 1.76827 1.43044 1.63194 1.32647 1.51836 1.46512 1.61544 1.57025 1.68829 1.10542 1.60868 1.56969 0.382306 1.20303 1.72123 1.30791 1.41878 1.11007 1.36964 1.21455 ]
22,-27.2381,[2.12719 1.57067 1.26241 1.92087 1.72074 1.5678 0.799744 1.35716 1.65363 1.20131 1.1604 1.11001 1.37398 1.32799 1.27443 1.24223 0.542872 1.38442 1.34677 1.31288 1.6061 1.42153 1.03862 1.63521 1.47255 1.44624 0.951951 0.940183 1.36871 1.57226 ]
23,-26.4713,[2.20232 1.46692 2.21929 0.219645 0.996866 1.57199 0.845144 1.75599 1.28299 1.21716 1.49332 1.42966 1.62609 1.78055 1.28096 1.66793 0.542859 1.38777 1.69259 1.49174 1.08021 1.70683 1.22157 1.63485 1.3326 0.973502 1.41855 1.51463 1.48653 1.34475 ]
24,-27.7554,[2.20845 1.5453 2.20854 1.90246 0.997905 1.56951 1.45606 1.34877 1.65555 1.57034 1.49563 0.643921 0.61658 1.32653 1.519 1.47151 1.61655 1.16705 1.69042 1.31721 1.28345 1.24951 1.67021 1.63506 1.60202 1.44305 1.54209 1.51305 1.089 1.34612 ]
25,-26.3608,[2.19787 1.47179 1.28267 1.92665 0.972349 1.56799 0.793133 1.75874 1.28065 1.56918 0.649785 1.11347 1.37798 1.03102 0.971067 1.24132 1.61521 1.57009 1.52978 0.497713 1.28107 1.05569 1.5366 1.63438 1.33398 1.4458 1.13128 1.26155 1.2366 1.34465 ]
26,-26.8604,[2.19774 1.57424 1.27246 1.1099 1.7089 0.886819 1.45398 1.35922 0.74171 1.57077 1.15589 1.10898 1.62935 1.0301 1.51868 1.4651 1.78694 0.497593 0.509689 1.64672 1.45427 1.42308 0.803036 1.01301 1.60201 1.4466 1.41702 1.51292 1.48928 1.46309 ]
27,-26.9628,[2.19998 1.57137 1.26445 1.06942 0.99596 0.870318 1.45547 0.716883 1.65518 1.56749 1.16268 1.1066 1.37587 1.02618 0.993643 1.4692 1.6161 1.3864 1.52906 1.64829 1.45672 1.25515 1.53689 1.01284 1.47406 1.30656 1.7622 1.39181 0.917504 1.21163 ]
28,-26.9819,[2.1842 1.50164 1.23591 1.11334 1.68568 1.57508 1.45174 1.35731 1.27445 1.56998 1.16091 1.69351 1.37852 1.03015 1.52067 0.49675 1.20121 1.38513 1.52813 1.4911 1.60651 1.42189 1.38975 1.36106 0.771074 1.57078 1.13009 0.935981 1.48751 1.34451 ]
29,-26.0403,[2.20685 1.57083 1.28429 1.92251 1.72141 0.879833 1.44683 1.34682 1.26597 1.22022 1.1519 1.1114 1.63203 1.02718 0.55718 1.47142 1.61715 0 1.35004 1.49223 1.60655 1.42111 0.465531 1.01558 1.33397 1.57048 1.54084 1.51362 0.919932 1.46064 ]
30,-27.8768,[2.09637 1.57506 1.28206 1.11421 1.70279 1.5498 1.44726 0.773867 1.27605 1.21488 1.49324 1.43344 1.63129 1.32372 0.990978 1.2361 1.20449 1.57132 1.52973 1.31315 1.60834 1.42024 1.53437 1.75777 1.33301 1.44206 0.956822 1.7303 1.23761 1.34605 ]
31,-27.237,[2.20346 1.56527 1.26256 1.11216 0.991554 0.900247 1.4582 1.35076 1.28304 1.57062 1.16145 1.69616 1.06378 1.32653 0.566066 1.24082 1.78908 1.56987 1.69105 1.79235 1.60757 1.25687 1.79423 1.2009 0.442562 1.57042 0.956868 1.25856 1.59823 1.46327 ]
32,-25.8345,[2.20412 1.57104 1.2758 1.1093 1.71689 1.56783 1.45548 1.35829 1.27478 1.57111 0.675456 1.43684 0.618961 1.00745 0.986814 0.962542 1.61583 0.907597 1.5278 1.10633 1.60853 0.47469 1.22282 1.00889 0.76356 0.968205 1.28375 1.10558 1.69921 1.34538 ]
33,-26.2254,[2.16088 1.53229 2.21765 1.89836 1.72338 1.57611 1.44901 0.747644 1.28514 1.5699 1.1543 0 1.62922 1.56683 1.51248 1.47015 0.936418 1.57158 1.52866 1.48833 0.830593 1.57189 1.53608 1.50413 0.436381 1.68728 1.76169 1.39392 1.08914 1.46174 ]
34,-27.092,[2.11304 1.53908 1.27949 1.9155 0.999101 0.90679 1.45526 1.75522 1.65289 1.21537 0.672837 1.42819 1.06314 0.587907 1.51467 1.46908 1.42914 1.57032 1.52839 1.4895 1.60762 1.0541 1.38975 1.01402 1.17636 0.971199 1.5429 0.942758 1.59719 1.57211 ]
35,-26.8774,[2.17332 1.52804 1.2514 1.10127 1.70661 0.863541 1.45483 0.78755 1.26284 1.57537 1.49624 1.10843 1.07007 1.56737 0.569548 1.46556 0.930726 1.56773 1.34882 1.31004 1.60814 1.41944 1.38879 1.36041 0.770178 1.44216 1.65577 1.26095 1.4856 1.57216 ]
36,-26.2883,[2.15698 1.54912 1.28351 1.08617 1.70166 1.56246 1.45801 1.75734 1.27844 0.692561 0.663096 0.642538 1.37254 1.57147 1.7236 1.24225 1.42512 0.896829 1.34866 0.861038 1.45163 1.4219 1.53494 1.63498 1.47378 1.57019 0.0553689 1.26041 1.48518 1.4618 ]
37,-25.7909,[2.16335 1.56532 1.27716 1.10435 1.72542 0.901726 1.4465 0.790771 1.28696 0.666188 1.49421 0.644716 1.37762 1.56669 1.28272 1.66589 1.4274 1.17046 1.69031 1.49099 0.467842 1.57 1.03264 0.7849 1.17534 0.75592 0.950305 1.62608 0.715208 1.46398 ]
38,-27.7514,[2.17601 1.53693 1.17938 1.11646 1.71916 1.56639 0.828871 1.3447 1.65814 1.56632 1.77131 1.10492 1.62845 1.01444 1.51987 1.47199 0.929153 1.38561 1.34475 1.3153 1.45317 1.4222 1.66867 1.50285 1.33316 1.57001 1.76217 1.51532 1.59723 1.34494 ]
39,-27.0182,[2.11586 1.54408 1.22337 1.08649 0.986236 0.878311 1.4436 1.36014 1.27523 1.57075 1.49754 1.43243 1.37626 1.32576 1.51844 1.66582 0.93033 0.90385 1.53049 1.3142 1.08672 1.25378 1.22437 1.19594 1.60248 1.4449 1.41796 0.421465 1.237 1.2158 ]
40,-26.1786,[2.19565 1.53673 2.22003 1.92122 1.69773 0.9 1.45685 0.785547 1.27241 1.56349 1.49151 1.69567 1.63189 0.59665 1.51812 1.4682 1.6131 0.904545 0.872272 1.31355 1.45405 1.70776 1.02986 1.19477 0.770824 1.15343 0.735176 1.1065 1.59796 1.34213 ]
41,-26.7408,[2.1304 1.49657 2.18813 1.90953 1.72048 0.908553 1.44849 1.75643 1.26319 1.2135 1.13805 1.43356 1.62968 1.56833 1.28147 1.23432 0.53862 1.16476 1.68879 1.10082 1.60854 1.05897 1.53667 1.35977 1.47355 1.30374 1.41709 1.62506 1.36722 1.21726 ]
42,-26.9143,[2.20263 1.56901 1.27484 1.11256 0.995704 1.56293 1.44927 0.759058 1.28146 1.56529 1.49131 0.646312 1.06413 1.56945 1.51315 0.960575 1.42507 0.5227 1.68869 1.64548 0.834762 1.2506 1.79436 1.50483 1.6024 1.15265 1.54058 0.935733 1.36933 1.46189 ]
43,-27.5982,[2.20723 1.51991 1.26382 1.10795 1.70217 1.54165 1.45087 1.35115 1.28238 1.57062 1.4977 1.43568 0.617312 1.32543 0.995314 1.2432 0.933409 1.38413 1.14107 1.11219 1.45382 1.41972 1.3875 1.504 1.17423 1.14948 1.41954 1.62621 1.36814 1.34462 ]
44,-25.9355,[2.15909 1.54467 1.24253 1.93001 1.68071 1.56652 1.45136 1.34926 1.65184 1.21368 1.49889 1.43032 1.04472 1.57088 1.72009 1.23808 1.19496 1.73678 0.881423 1.48882 0.827954 1.06263 1.02849 1.50481 1.47141 0.438982 1.54241 0.940147 0.704812 1.46281 ]
45,-26.8046,[2.19879 1.53775 1.27675 1.90787 1.7085 0.874052 1.45073 1.36511 1.27821 1.56897 1.48881 1.42976 1.06768 1.56824 0.982741 1.24333 1.6177 1.57098 1.13566 0.501501 1.60954 0.468383 1.22231 1.757 1.6025 1.68685 1.28272 0.728742 1.3674 1.46106 ]
46,-26.989,[2.19516 1.57156 1.28261 1.91282 1.71873 1.54965 1.45762 0.788619 1.28095 1.5639 1.15987 1.69612 1.62695 1.02171 0.551173 1.66757 1.6153 1.56794 1.52979 0.494134 0.835499 1.42129 1.22411 1.35873 1.3347 1.30904 1.41726 1.62704 1.48699 0.905912 ]
47,-26.0654,[2.19183 1.51581 2.21872 1.09052 0.96769 0.904563 1.45572 1.3581 0.746122 1.21906 0.632715 0.646534 1.63018 1.32588 0.985211 1.46813 1.20595 0.902748 1.34718 1.10985 0.827793 1.05092 1.22523 1.35917 1.4721 1.5708 1.54219 1.39149 1.48772 1.57102 ]
48,-26.8895,[2.10984 1.56782 1.27723 1.90365 0.993863 0.881903 1.43265 1.36368 1.27555 1.57213 1.1538 1.69456 1.63099 1.32841 1.28269 0.551392 1.61391 1.57318 1.52864 1.11328 0.841007 1.05624 0.798444 1.50501 1.17258 1.6877 1.129 1.51394 1.36644 1.21823 ]
49,-25.7527,[2.02805 1.51123 1.28344 1.87446 0.995467 1.57126 1.44708 1.3563 0.741725 1.20664 1.49405 1.43004 1.63082 1.56856 0.469389 1.24186 1.42787 1.38557 1.52669 1.49093 1.28364 1.41842 1.38998 0.132096 1.60236 1.15336 1.41801 1.51248 1.36688 1.67157 ]
50,-25.9586,[2.15148 1.56016 1.28528 1.92064 1.72041 0.839843 1.4242 1.74832 1.65069 1.21219 1.15754 1.69703 1.63141 1.57224 0.981648 1.24278 1.20396 1.5665 1.13568 0.49966 1.27874 1.42087 1.53492 1.01319 1.32987 1.14575 1.54055 0.377119 1.59683 1.46415 ]
