Run#,Result,Solution
19,10.1463,[29.3661 -7.68482 -12.6481 12.8789 -15.4262 -3.84429 -2.46172 11.75 -9.39682 26.1424 15.6775 -29.0404 28.2176 -26.5454 -23.0422 0.344542 -18.9843 -4.23594 1.25868 28.65 -15.1119 3.76764 4.06993 5.48602 5.76678 8.54269 -2.02519 11.155 -0.383135 13.7025 ]
20,10.1463,[14.6315 18.6722 -29.1437 -27.3313 -23.7211 -28.5831 11.8222 -18.9629 14.2903 -3.46199 -4.56966 27.8568 -10.136 8.71337 6.6977 -23.6101 15.6725 8.487 25.4246 -1.63319 20.1349 19.6658 -13.4036 1.89607 19.5065 1.1156 -16.1391 -24.9574 4.02349 -17.7236 ]
21,10.1463,[24.3331 -16.7759 -10.2262 2.43583 -26.2285 14.6607 26.8932 -15.7993 -15.4622 -25.8257 18.1775 -11.5647 2.38784 24.3998 12.5917 -23.2161 28.6605 29.4953 10.1039 -0.351112 8.95355 -22.2624 15.9587 -5.42335 14.5 28.0257 20.5137 -7.09503 7.91693 -23.9819 ]
22,10.1463,[-1.56123 22.9044 -18.7295 29.1647 20.2322 -10.5634 -15.3948 15.8543 17.3378 -10.8683 -21.8359 1.48908 11.7627 -17.0464 15.8968 19.6949 -23.9037 -5.91152 -1.04817 -0.203594 27.6348 0.050354 -24.277 -13.1473 23.5641 -6.61424 -29.123 -10.8313 7.6434 13.9817 ]
23,10.1463,[1.80464 6.44855 -22.5844 8.52944 13.5595 27.9494 28.8262 -1.79037 11.7161 27.5524 -0.231033 13.2806 -27.9897 9.59604 8.14252 2.59311 -0.256611 7.78214 29.2514 -27.3626 24.9867 28.6673 26.6144 29.1004 -6.52558 6.37563 26.4713 -8.07295 14.7785 -5.25613 ]
24,10.1463,[-14.0323 5.35831 18.1572 -18.5086 4.68848 21.1516 15.4825 4.46425 26.3975 -23.8096 -24.4714 10.8492 26.6065 -9.43339 20.1446 -18.6763 5.98721 8.84355 -13.0085 -6.97684 25.0319 -7.05202 25.2738 -22.7536 -19.8249 21.0622 -15.4328 24.2161 12.4934 -2.82189 ]
25,10.1463,[9.7472 -29.6009 20.3126 -7.20174 22.1884 23.9879 -4.3052 16.8942 25.6719 14.3922 4.01862 14.443 12.6917 15.1982 -5.91394 25.6005 1.99975 0.826571 -7.52044 -14.5962 -14.1163 22.5015 -11.9248 13.5201 -29.1216 23.4268 4.69757 -13.6894 -14.3414 19.0258 ]
26,10.1463,[9.93781 28.3293 -17.2676 20.3578 -14.2521 -12.5916 -11.3247 27.8292 17.3695 -21.7902 -4.37714 14.0698 11.8682 21.2029 -6.25289 -13.7423 19.616 -24.0363 -17.6108 -12.7889 -3.19963 17.3735 8.45081 13.3024 2.20914 -20.0554 26.9375 10.4833 -26.2456 0.514906 ]
27,10.1463,[-12.7028 -23.8556 -27.5226 -27.5126 -26.3281 -27.5664 -13.6748 -11.9468 27.1815 3.27069 -5.01308 -12.102 -7.03757 19.717 -26.2694 -6.09915 28.6927 3.09788 -5.89974 3.42899 -27.0125 -8.08865 -20.6943 -7.92297 -14.1308 5.00407 -22.3236 -9.33006 1.84334 15.5955 ]
28,10.1463,[-12.0016 -17.4478 -20.016 9.71638 8.43188 -19.511 -15.9763 -8.32636 8.3194 -20.4248 -7.87352 -3.32183 9.10211 9.31163 23.2112 19.5094 -19.7088 -12.9131 12.4449 -11.0935 26.9351 -0.722736 26.8749 16.8628 21.0162 -10.194 4.92156 -6.13848 6.64292 4.33723 ]
29,10.1463,[-13.3836 -6.60504 19.7526 21.2405 -25.1313 7.31203 4.37186 21.2618 19.0032 9.06314 -29.1611 9.23544 -25.3692 23.7378 -15.9419 -27.6682 -25.7751 -19.0566 -23.4158 4.04769 21.0722 26.9624 -17.8753 13.7285 -1.06301 -1.03373 4.90319 0.82296 5.97377 -20.5673 ]
30,10.1463,[-19.6842 -19.1594 27.9857 29.23 6.27171 13.2948 -1.435 -20.0129 -19.9922 13.9832 20.0128 8.36255 -23.6367 -22.2873 -29.965 -1.91957 18.2323 -10.0633 0.944935 -14.3443 -9.44525 6.84146 -21.9495 23.8499 26.0464 5.07616 9.69836 -26.4813 -0.706228 -21.7466 ]
31,10.1463,[-5.6445 -13.2644 17.6495 27.8026 27.2704 -8.58017 18.5059 12.7147 24.3195 13.6184 -26.3432 -29.3745 4.99943 18.3354 20.7135 -2.2041 -9.4344 15.3681 28.8505 -5.93276 15.5311 -18.8732 -26.8733 -28.748 -13.519 -18.4761 -8.26208 -5.1945 15.6205 -24.4523 ]
32,10.1463,[-25.7599 -17.9189 -25.4068 9.77962 -23.0284 27.1279 6.78559 -10.0751 13.6773 15.9635 8.00515 12.0402 22.1655 -16.4792 19.1577 25.3599 28.7626 -29.3276 1.30003 1.39181 17.2976 -28.4583 25.3216 -11.4149 -14.0956 17.5534 -4.02024 22.8651 -11.3854 29.5187 ]
33,10.1463,[16.8593 -8.07698 -4.84262 -23.1512 -17.923 18.5248 -0.94735 9.00696 7.55901 27.8763 6.56001 -8.42589 23.4756 -9.58544 18.8013 1.66841 -22.9222 -29.2322 4.56998 -5.92908 28.6545 -8.37434 4.53677 -18.5202 -6.20376 18.7231 -2.25093 26.1092 -28.3816 -11.6026 ]
