Run#,Result,Solution
17,169.118,[-0.980888 -1.76882 0.0672387 -0.731575 0.103756 0.0276411 0.106957 -1.29128 -1.6181 -2.45588 0.107723 -0.652705 0.0661776 -0.867511 -4.8625 -0.0538435 0.0860029 0.0556306 -2.89722 0.193958 -3.80226 -0.901115 0.161137 -1.7644 -1.85725 0.115307 -2.64542 0.0414019 -0.799319 -14.8048 ]
18,190.912,[-0.0596352 -0.325785 -0.456353 0.0322145 -0.266469 -0.127756 -0.804196 -1.79832 0.0222721 -3.77909 -0.889649 -0.756471 0.0216751 0.0502664 -0.647015 0.0618764 0.0655174 -5.79906 0.139525 -9.82644 -14.8325 -3.87749 -1.74175 -2.14334 -1.79178 -2.9424 -1.81265 -0.908675 0.115406 0.09515 ]
19,104.098,[-1.0372 0.142564 -1.90354 0.0284042 0.0242661 0.0152176 -0.0473123 -0.855366 0.0817906 -1.04104 -0.0468705 -0.232846 -0.814126 -1.85571 0.0619978 -2.84056 0.0764029 0.0699713 -0.0598342 -2.82464 -0.715233 -0.180612 -0.123684 -0.924599 0.136333 -0.0885966 0.0673779 0.00122017 -0.898323 0.216512 ]
20,167.121,[-1.10847 0.126862 -0.183287 0.0843389 -1.74133 -0.797714 -0.694085 0.0284677 -0.82967 -0.794275 -1.35995 -0.163502 -2.01224 -1.79992 -1.01448 -15.8262 -0.796007 -0.00976372 -0.725004 -0.780172 -1.03907 -0.837862 -0.750941 -0.872698 -2.81411 -1.8281 -1.79652 -0.834805 0.0926617 -4.7599 ]
21,150.509,[0.0190058 -2.2152 -0.00568636 0.164186 -5.07801 -0.784686 -1.72468 -0.948435 0.0721357 0.0964696 -3.15884 -0.933275 0.014619 -1.06236 0.0552188 -0.0347176 0.0701675 0.117803 -1.84559 -9.74884 -1.6636 -0.271536 -0.497629 -0.241739 -0.00790274 -0.0703427 0.0633917 -0.745586 -0.850857 0.26012 ]
22,135.713,[-1.16667 -2.74213 0.0697431 -0.756918 0.168309 -1.24424 -2.01046 -0.0647278 -0.126597 -0.0188522 -3.01677 -0.764916 -4.25368 -0.188167 0.0475062 0.0685429 0.0727418 -0.838016 -0.909678 -0.781006 -1.21616 0.117413 -0.0869679 -0.905078 -0.780331 -0.833168 -0.721203 -0.157868 -1.75432 0.205388 ]
23,159.073,[-0.013695 -1.77722 0.125092 -2.95199 -0.792041 -1.99698 -0.773456 -1.83354 -2.92609 0.0744348 -1.83626 -0.84573 0.055165 -0.196463 0.0568065 -3.86355 0.0652722 -0.13365 -2.07506 0.109317 -0.0651846 -0.0273076 0.123937 -1.87944 -1.09397 -0.251661 -0.189692 -3.24513 -1.83376 -0.877445 ]
24,129.354,[-0.294574 0.0554856 -2.74155 0.12781 -1.82553 -2.07032 -0.963924 -1.79523 -0.912504 -1.79179 0.0935475 -0.0208113 0.0435124 -0.0123123 -0.152284 0.0830306 -1.75467 -1.11783 0.0165761 -1.65252 -0.950438 -0.815569 -0.840204 -2.7525 -0.190342 -0.227083 -0.354959 -0.216646 0.0633676 -0.701147 ]
25,172.094,[-0.953211 -0.939491 -2.82682 0.0895309 -0.955431 -0.0815698 0.0596505 -1.04812 -4.04417 -2.16206 0.0711946 -0.69904 -5.1867 0.140867 -0.194082 0.00612795 0.0242399 -0.832313 -3.88238 -3.95457 -0.748215 0.00564146 0.0174513 -5.85916 -0.0159391 -0.053627 -1.07485 0.128088 -1.28748 -0.758023 ]
26,185.485,[-0.082859 -4.88638 -6.84999 -4.79958 -1.98472 -3.08932 -2.80443 -5.15775 0.136562 -1.78784 -0.744147 -0.990063 0.0874991 -0.88971 -1.77999 -1.92466 -2.75695 -0.123006 -0.0306216 -0.0847325 -0.811415 -3.9104 0.0908431 -0.048727 0.00681686 0.0727003 -0.699931 0.0702791 -0.80021 -0.63609 ]
