Run#,Result,Solution
19,6.3123,[0.919444 0.937447 -0.518618 0.550641 -4.38338 0.990988 -1.07958 1.01306 0.339594 0.972471 0.90266 0.649255 -4.45695 0.66279 0.330025 0.61762 0.989076 0.993834 -0.080376 1.02211 1.02766 0.769863 0.929488 0.980084 0.916881 0.381334 0.980822 0.591677 0.402647 0.992674 ]
20,7.58898,[1.01173 0.797961 0.955846 -0.0855615 -0.0585165 -0.655383 -4.23058 0.555324 0.996497 0.890767 -0.128932 -0.107636 0.723298 -1.08877 0.964822 -4.28486 0.526759 0.945088 -0.0688341 -0.136761 -4.23336 1.02119 0.953145 1.00071 0.941339 0.85916 0.977003 -0.174531 0.958753 0.998119 ]
21,17.5862,[0.369963 0.866352 -0.497416 -0.940211 0.984187 -0.367954 0.987831 0.487759 -0.779426 -0.761209 -0.0802996 0.340847 -0.637902 0.916429 -4.26912 -0.491805 -4.23255 -0.201994 0.990696 0.991948 0.994164 0.784809 0.786947 -0.107293 0.573133 -0.193432 -0.116826 0.962644 0.861544 0.577929 ]
22,6.19384,[1.01182 0.926061 0.894785 1.00648 0.826695 1.03289 0.975271 0.878558 0.924026 1.0113 0.322656 -0.0294018 -0.168167 0.939511 0.898465 0.853327 0.934755 0.39529 0.392197 -4.25854 0.816336 0.895871 -0.0893313 1.00327 0.99835 -0.123027 0.928474 -0.824799 -0.852336 0.802963 ]
23,15.761,[0.755995 1.13365 1.11943 -1.02702 0.906279 0.450235 0.880862 -0.820292 0.994667 1.09656 -8.22142 0.739855 0.851271 -4.36395 0.503022 -4.30139 -1.19494 0.113991 -0.714366 1.18689 1.15555 -0.652946 0.735541 -0.914904 1.2043 -1.02642 0.794694 -0.223332 1.02357 0.927889 ]
24,6.20212,[0.975344 0.993249 0.848639 -0.197976 1.01091 -1.21603 -0.581087 -0.762069 0.954337 0.546025 0.948751 0.982358 -0.157039 -0.684189 1.03365 0.682359 0.998784 1.03663 0.900598 1.01727 -0.158203 -0.0985214 1.0182 0.968263 1.01825 -0.107527 0.312361 0.996608 0.37027 0.798568 ]
25,5.58921,[0.876631 0.921703 0.897682 0.991212 0.590348 -0.13282 0.594254 0.377777 -4.24857 0.935775 0.98901 -0.160328 1.00187 0.959805 0.963291 -0.108457 0.652455 0.921818 0.995142 0.97656 0.865211 0.994049 1.03125 -0.474036 -0.348049 0.95285 -4.26604 -0.510845 0.51761 0.876746 ]
26,7.63309,[-0.134746 0.822091 -0.900142 0.598029 1.01441 -0.389984 0.492872 0.978618 0.981626 0.920521 -0.125014 0.835863 1.01507 0.33457 -4.24198 0.950562 0.347795 0.811683 -0.191745 -0.340327 -4.32361 0.998185 0.64696 -0.133015 0.826449 1.00888 0.902678 0.988789 -4.20088 0.981336 ]
27,9.14873,[0.850487 1.00369 0.910937 0.904477 0.687183 -0.268312 1.02598 0.728455 -0.203818 0.814233 -0.0598198 0.700317 -0.299575 1.06957 -0.0736946 -0.440801 -4.63569 -0.0156364 -0.258673 -0.348493 -0.411674 0.654052 -4.4817 -0.0863399 -0.853105 -0.401169 0.640258 0.75262 -0.909347 0.936483 ]
28,6.68087,[1.003 0.817037 0.490199 0.406705 0.97738 0.958964 -1.02339 1.00777 0.997232 0.711193 -4.24268 0.895398 1.01414 0.996939 0.746429 0.827996 0.689629 -0.808231 -0.118695 -4.21689 -0.14379 -0.423741 1.03917 0.774458 0.795424 0.774595 0.969725 0.583351 0.965208 0.884636 ]
29,10.4694,[-0.569459 -0.81339 -0.516315 0.726375 -0.266046 -1.04564 -0.162957 0.460219 0.945292 0.657564 0.391456 0.906439 0.984536 -0.355604 -0.282089 0.777708 -0.137821 0.922734 0.793605 -0.210251 -0.370202 0.753579 -4.30809 0.999239 0.903374 -0.103037 -0.434465 -4.26731 0.582354 0.799565 ]
30,5.26463,[0.226189 0.819254 -0.118836 -1.06041 0.843645 0.79692 0.967768 -0.116895 -1.03894 0.900654 -0.263283 0.659325 -0.0852381 -0.0960656 0.849909 0.976494 0.992951 0.946546 0.998704 -0.119246 -0.971844 -0.149389 -0.891074 0.935161 0.66739 0.908456 0.897613 0.980532 0.740318 0.950727 ]
31,5.53801,[0.994087 -0.0958935 -0.225035 0.565841 -0.23604 1.00904 -0.58331 0.523362 1.00217 0.681012 0.461727 0.984781 -4.39188 0.836218 -0.157635 0.994802 1.00295 0.970599 -0.866031 -0.128566 0.893893 0.409392 1.01813 0.88834 0.836228 -0.0710433 -1.02193 1.04111 -0.89779 1.00413 ]
32,3.30221,[0.214944 0.998474 0.966661 0.850889 0.902623 0.922362 -4.27475 0.940905 0.632244 -0.155639 -0.0704557 0.995708 -0.0731459 0.990824 -0.290761 0.574758 1.02134 -0.726883 0.993935 -0.0631791 0.970181 0.46463 0.933553 0.994126 0.564071 0.894684 0.986695 0.974657 0.96308 0.992071 ]
33,3.06021,[1.00686 -0.149522 0.816864 0.706877 0.2945 0.978045 0.369501 -0.258991 0.991589 1.05027 0.547947 0.443169 0.951517 1.00386 0.793274 0.970449 0.967292 0.992248 1.0014 0.716976 -4.40113 -0.100778 1.00862 0.950727 -0.0398796 -0.0919817 -0.128067 0.96241 -0.0804763 0.987175 ]
34,11.5291,[0.899018 0.553325 0.9274 -4.27714 0.494247 -0.519615 0.960634 1.00401 0.777145 -0.0919206 0.549316 -4.34828 0.998463 -0.116806 0.54296 -0.527552 -4.23749 0.888521 -4.26159 -4.25094 -0.471973 0.987051 0.719828 -0.150217 0.724123 0.928955 -0.147893 1.01327 0.434237 0.856764 ]
35,11.1637,[0.991587 -0.50618 0.937451 -0.868792 0.996318 0.795076 0.656024 0.554049 0.988223 1.00471 1.02173 0.988787 0.804997 -0.939505 -8.369 1.00418 0.986218 -0.452612 -0.760986 -0.916543 -4.2189 0.914089 -0.130737 0.50979 0.44488 -0.0974159 0.572299 0.607858 0.922911 0.988507 ]
36,6.77283,[0.871018 0.948451 0.864045 0.830414 0.761226 0.561104 0.741798 0.956114 0.803275 0.765693 0.986177 -0.58078 0.977446 0.940184 -0.636269 -0.609462 0.495147 -0.0763277 0.522666 0.832636 -4.44088 1.02611 -4.24962 -0.179834 0.993944 0.858963 0.723176 0.757744 0.888578 0.852486 ]
37,5.30492,[0.892033 -0.86092 -0.76582 0.927219 -0.407096 -1.13911 0.311421 -0.201715 -0.097993 0.751158 0.75467 -0.137631 -0.102174 0.711849 -0.0914683 0.965497 0.95796 0.93463 -0.122514 0.87996 1.03806 0.930605 -0.140273 0.36984 0.840989 -1.20788 0.954315 0.863053 0.99298 0.978898 ]
38,2.35207,[0.912767 0.843871 -0.430264 -0.423697 1.00932 0.703883 1.03165 0.953365 0.539918 0.968269 1.00575 -0.447618 0.958548 -0.43004 -0.601783 0.952824 0.824543 -0.0525527 0.70039 -0.641513 -0.434853 0.958387 0.719314 -0.730916 0.479588 0.981895 0.718076 -0.570649 0.91695 0.998898 ]
39,8.70561,[1.0105 -4.32523 -0.107202 0.627526 0.997177 -4.26428 0.833873 0.731454 0.844632 0.87146 0.875732 0.78013 0.840016 0.972065 1.04335 0.344132 -0.098525 0.940032 0.844391 0.439653 -4.25133 0.988896 -0.754936 0.773025 0.972855 1.00973 0.915663 0.963896 1.01497 0.807504 ]
40,4.12852,[0.646552 0.954456 -0.108581 0.987958 -0.0676395 1.01426 0.855827 0.715953 -0.0868727 -0.935816 -0.263643 0.718094 -0.124668 0.952833 0.977952 -0.0714255 0.958801 -0.11166 0.983506 0.600445 0.778626 0.983829 -0.0796236 0.283257 0.933433 -0.105996 0.718555 -4.26189 -0.163019 0.935466 ]
41,12.5492,[0.554944 0.623814 1.00969 0.738232 0.675027 -4.23753 -4.32384 -0.0902999 -4.35302 1.01336 0.88571 -0.832844 -4.20694 -0.761438 0.77055 0.902826 -0.0958666 -4.19812 -4.26119 0.91559 -0.16678 0.978704 0.985512 0.503902 0.886009 0.55969 0.936741 -0.4503 1.01023 1.01123 ]
42,6.13539,[1.00061 0.734519 -0.0828875 0.73676 0.97667 0.975269 -0.892097 -4.42034 0.535565 0.972436 0.828355 0.932784 0.967788 0.586847 0.65384 -0.894603 -4.32769 1.00253 0.834107 0.981861 0.933327 -0.142544 0.298954 0.99213 0.880545 0.651784 0.445523 0.292311 0.961189 0.962364 ]
43,9.10234,[0.281784 -0.686428 0.835972 0.424161 0.688449 -0.0885018 1.02585 1.00917 1.01459 0.827198 0.375203 0.579944 -0.168386 -4.28236 0.66838 -4.29211 0.453773 0.980244 0.974629 0.969669 0.377975 0.999119 -0.132006 -0.169939 -0.738785 -0.0787156 -4.28852 0.974853 -4.29712 1.01179 ]
44,5.01411,[0.893137 -0.437947 0.934332 1.00128 0.977539 0.89061 -4.2256 -0.0665189 -0.690116 -0.908533 -0.767029 -0.247106 0.97781 0.986943 -0.476355 0.986353 0.966703 0.609224 0.946496 0.980986 0.935707 -0.57967 -0.125079 0.858525 -0.088324 0.971012 0.965822 -0.0745114 0.0431989 0.915668 ]
45,3.73984,[0.907108 0.987631 1.00342 0.872873 0.718129 -0.280344 -0.141861 -0.653008 0.735062 0.945066 -0.886219 -0.6597 -0.373622 0.784199 0.980066 0.99833 0.730234 0.963741 0.774131 -0.819674 0.996306 1.02059 1.01514 0.47855 0.654761 -0.101614 0.447983 -0.139576 -0.360702 0.886951 ]
46,2.55181,[1.01785 0.899251 -0.173611 0.973994 0.982687 1.00574 0.69531 0.98033 0.297414 1.00459 -0.0427809 -0.988454 -0.279671 -0.750673 0.932153 -0.109628 0.942858 -0.133224 0.939068 0.603608 0.9246 0.983828 0.710371 -0.0886452 0.979278 0.809735 -0.093461 -0.105151 0.61409 0.955235 ]
47,4.8571,[0.950113 0.985923 -0.388535 1.00604 1.00354 -0.0491491 1.02569 0.66964 0.786112 0.371271 0.65508 -4.23346 0.405823 -0.142651 0.809814 0.806909 1.00603 0.555024 0.852247 0.96659 -0.0439086 1.02251 0.420251 -0.11462 0.895852 -4.42034 -0.306173 0.978283 0.959197 1.00981 ]
48,9.58162,[0.853485 0.985725 0.933445 -4.55142 0.414817 -0.53311 -4.22147 1.03646 0.738729 -0.039967 0.657827 -0.0746621 -0.0389572 0.555296 1.01397 -0.179244 -0.676358 0.977128 -0.229175 -4.23472 0.932932 -4.31706 1.00738 1.00411 0.927994 -0.132784 0.434185 -0.138242 0.963078 0.99281 ]
49,8.32595,[0.860464 -0.102675 -0.561618 1.00042 0.963042 -0.144302 1.00249 -0.0985816 0.627052 -0.0893621 0.508808 0.427637 0.559618 1.04537 -4.31872 -0.0632042 0.993849 1.00022 0.986081 0.777596 0.955035 0.964738 -0.164154 -0.748104 0.896542 0.54969 0.473089 0.591334 0.993547 0.724425 ]
50,4.82009,[0.814512 -0.0552811 0.711277 -0.0352688 0.929614 0.676463 0.97297 1.00357 0.998115 0.984979 -0.280663 0.976853 0.990971 0.960175 0.979641 0.966825 0.997341 0.532931 -0.571302 -0.142192 0.924414 -0.719769 1.01833 -4.23337 0.923902 0.914261 0.717138 -4.25218 -0.391984 0.987855 ]
