Run#,Result,Solution
18,-38.3768,[-3.41961 2.72702 -3.95692 0.595882 -9.89508 -1.79905 2.10955 -0.750852 -2.48366 -3.64603 -13.8781 -4.44285 1.48875 -16.7892 0.541909 -4.77544 -0.537037 -1.2489 -1.32651 -0.0653994 6.01888 2.40569 1.5314 1.62988 -20.018 -8.64681 -23.8482 -0.861352 -6.12729 -2.74474 ]
19,-37.8976,[0.611288 -12.8614 -1.02842 -15.1369 3.98234 -11.0291 0.781075 -5.99771 -4.5986 -1.11202 -16.2702 5.99942 -3.2572 -8.74087 -5.53699 0.681781 -1.14463 -4.51121 1.26634 -0.385422 -1.24437 -19.2633 -9.49815 0.212388 1.80663 -7.76313 -4.88153 1.23339 0.566498 -14.4486 ]
20,-37.4814,[-1.3765 -11.969 -6.67388 -1.59222 -4.15532 1.8212 3.04598 -3.8439 -15.9133 -10.1484 0.980215 -0.863646 -8.39816 -13.7202 -3.33046 -1.32186 -3.80155 1.39943 -12.2188 -8.04797 -21.3412 -1.08654 0.861953 2.85893 0.577554 -4.85681 -5.26144 -10.6267 -11.3548 1.14725 ]
21,-39.7839,[-2.09983 2.66158 -9.52362 4.30019 1.86103 -4.84467 -0.416778 -1.21432 -1.36317 -0.0803108 -6.11148 0.660924 -2.14222 4.21881 -3.82522 -2.88461 -4.78587 -4.75286 -7.89503 -2.2615 1.06952 -0.797368 -5.45593 0.647886 -10.7571 0.481783 -15.3732 -3.28645 -14.5893 -0.552638 ]
22,-38.125,[-1.16557 -5.79882 -12.5728 -0.0943999 1.32293 0.0834916 -14.6444 -5.49601 -11.4326 -3.67596 -13.7053 0.958043 -6.11983 -0.711004 1.13971 -2.75725 -0.728903 1.92355 -2.35868 -8.89351 -0.667149 1.1668 -0.625574 -28.9737 0.594391 1.72354 -6.28465 -3.38544 -8.7089 -3.12119 ]
23,-40.2908,[-6.01323 -2.98602 -0.0237865 1.80367 -2.10974 0.761082 -5.74585 -2.48521 -2.17306 -0.55756 -4.17415 -1.86628 -2.47978 -0.779577 1.6376 -3.53311 -16.2467 -10.5623 2.94721 -0.474314 1.20749 -6.46698 -1.23673 4.19592 -15.3035 -2.35115 -5.48509 1.5917 -6.74852 -1.12338 ]
24,-38.5393,[-10.2924 1.38551 -3.64095 -1.30843 -6.17413 -1.5834 -2.37215 -8.25707 -2.15262 -1.62026 -10.612 -2.63624 -9.77878 -0.604946 -1.23922 -5.68661 6.62057 -3.68313 -12.0596 -0.552036 -2.99275 -12.1633 -12.5356 -2.22698 -7.44288 -14.0648 -11.7729 2.20171 -0.440324 -2.01393 ]
25,-40.416,[-8.89839 -2.41897 -3.24812 -8.20631 -0.225621 1.359 -9.0857 -3.06711 -0.470573 -1.24698 -2.02957 -5.93564 -0.333052 -1.26198 -5.42502 -2.17386 -3.29526 -14.4454 1.06485 -2.47432 -0.791223 -2.47947 -1.66222 -8.70271 5.20108 -2.2969 -10.278 -3.99274 -0.232634 -1.27901 ]
26,-38.4434,[-5.69102 -4.88811 -1.56103 -1.6097 -13.2394 -6.77006 -20.8263 -3.61562 -3.81737 -0.406378 -1.77702 -8.79131 -0.876659 0.980243 -4.32085 -5.54716 -12.7219 1.08791 -2.36119 0.816292 -1.05266 -3.77949 -9.63053 -4.45324 -9.43014 -16.8418 -0.162834 -1.31851 -0.074532 -8.07736 ]
27,-38.3736,[-9.18562 -3.1605 -14.6969 -0.483032 -1.27078 -3.23308 -8.26361 -4.63462 -5.84144 -17.7819 1.11104 -1.43942 -10.0311 -2.39343 0.72999 -5.10371 -4.37028 -4.55356 -0.0649066 -21.5874 0.970179 -12.2099 4.9247 -7.94288 2.64149 -2.66004 -2.23029 -0.26569 -3.85875 -3.02572 ]
