Run#,Result,Solution
1,5.74469e+07,[-14.3623 -2.9189 -0.396207 -31.1345 -18.1902 0.60924 -1.30545 0.127017 -3.01038 -1.65342 -5.86466 0.402658 -1.07977 0.528696 -2.00421 0.324692 -10.4725 -0.503232 -0.22127 -3.97343 -24.7763 -0.873661 -17.7176 0.0871406 -0.723698 -0.961842 -34.8921 -8.90748 -17.1326 0.239071 ]
2,4.20204e+07,[-1.02789 -27.9755 -4.23132 -0.897951 -2.04617 -9.1916 -6.11793 0.0312824 -0.48069 -1.40427 -1.23705 -0.464932 -26.7539 -4.60643 -0.314931 -1.99506 -1.02042 -6.8286 -29.9948 0.0811777 -14.8844 -6.28963 -7.29221 -8.45029 -6.35461 -12.5733 -23.9121 -23.0368 -0.257124 0.147969 ]
3,2.8236e+07,[-3.18746 -10.0443 -0.184275 -0.48337 -2.00401 -0.853495 -0.178274 -35.8492 -0.871741 -1.02471 -10.7992 -1.47962 -0.35732 -1.70358 -0.360359 -3.23006 -29.8406 -7.62735 -11.9321 -14.393 -1.9273 -2.64504 -1.67565 -4.87924 -6.27197 -0.797418 -4.62248 -1.86472 -1.31379 -0.275337 ]
4,8.24946e+07,[-0.0636063 -0.566313 -36.9652 0.0452981 -1.37919 -2.10209 -29.8718 -1.68441 -1.05684 -0.968773 -1.74122 -34.3166 -0.668849 -13.6209 -0.374152 -0.335228 -0.164966 -0.360641 -0.643706 -4.83704 0.647051 -0.902197 -31.6413 -14.3276 -0.265846 -32.8036 -2.34676 -4.52468 0.1275 -0.0142155 ]
5,2.51555e+07,[-1.71882 0.370376 -13.1297 -0.0401748 -6.87035 0.102188 0.673883 -2.86231 -13.8862 0.802449 -15.4644 -1.29103 -0.120524 0.578792 -15.4732 -0.48895 -2.28345 -12.9708 -29.4566 0.237236 -14.397 0.748713 -0.446503 -1.03866 -10.217 0.07537 -20.6672 -16.8634 -6.46045 -2.16045 ]
6,5.80686e+07,[-24.4455 -1.81013 -1.1781 -19.0257 -0.403556 -12.239 0.160748 -0.307785 -2.3374 -2.59085 0.534668 -0.142948 -4.57845 -0.227994 -32.907 -24.461 -4.94617 -27.9499 -21.2282 -1.21943 -13.1982 -3.38411 0.398525 0.210173 -0.282346 -23.514 -24.645 0.082286 0.132562 -10.2157 ]
7,4.78919e+07,[0.326111 -0.81126 -5.11391 -22.4553 -0.611333 -18.953 -2.78671 -33.1308 -39.0615 -0.188248 -21.3097 0.609401 -0.246499 -0.636511 -2.39135 -5.71383 -16.5509 0.714244 -5.22039 -1.25849 -0.136782 -23.0272 -21.5578 -5.12839 -0.26759 -0.915372 -0.943347 -0.0873606 0.0835471 -12.6218 ]
8,4.87307e+07,[-9.18916 -6.1077 -7.28515 0.834866 0.561317 -3.50632 -21.767 -6.71369 -19.951 -5.11662 -1.41824 -28.4342 -2.0172 0.215392 -8.19676 -28.9707 -0.136649 -16.1658 -0.370714 -18.0698 -14.9416 -0.982834 -1.585 -1.85064 -4.04745 -1.75961 -30.0759 -0.0773945 0.0618877 -0.345708 ]
9,1.0184e+08,[-45.6632 -3.21981 -13.8489 -10.6167 -0.664609 -27.6045 0.319002 -11.3108 -1.96496 -17.995 -0.0594997 -1.3202 -45.3847 -0.732585 -3.98447 -8.13472 -6.04607 -15.4528 -23.3833 -12.5831 -34.6297 -2.02466 -0.936168 -1.78839 -0.388237 -0.490907 0.0158515 0.586311 -3.83955 0.330311 ]
10,2.17418e+07,[-2.31864 -23.7442 -0.406538 0.326515 -3.30331 -0.111806 0.0853517 0.0511287 -21.3062 -22.9893 -10.91 -32.8049 0.179436 -5.79293 -7.73098 -0.0822666 -14.9696 0.367142 -4.84474 -4.87535 -8.19086 -7.86528 -12.9184 -0.231761 -0.472822 -8.05148 -11.8418 -0.307474 -1.00493 0.199156 ]
