Run#,Result,Solution
1,9.81461,[-74.0732 -16.0104 -37.2799 -0.483668 0.537168 -1.36324 -1.5495 -5.71051 -1.02163 -2.01843 0.713451 -110.589 0.659377 -1.15667 -66.3083 -1.43908 -5.76222 1.47921 -1.53511 1.49493 -0.812302 -4.05241 -2.1767 0.0809355 -0.836209 -52.1994 -12.1583 -84.8874 -30.3906 -19.6745 ]
2,8.40411,[-14.9904 0.131692 -30.0277 -7.12239 -0.537622 -4.0959 -1.74518 -6.88454 -10.7201 -36.2846 -0.419237 -9.86508 -5.82361 0.547437 0.599092 -18.5163 -2.48557 -2.37332 -10.7373 -104.599 -1.04735 -48.218 -2.88185 -64.3272 -0.855645 -2.23607 -0.153328 -5.34947 -0.384419 -94.2887 ]
3,22.1474,[-12.7627 -3.86977 -99.4845 -32.5699 -42.6205 -107.21 -98.1666 0.206734 -31.596 -27.5884 -76.524 -2.51538 5.32596 -51.7268 -60.4422 -54.1121 -93.4232 -94.916 -6.09277 -3.28532 -58.9202 1.22039 -1.60598 -22.3097 -6.19812 -91.6188 -17.7401 -54.9918 2.28011 -8.05811 ]
4,12.5043,[-0.203929 -1.89207 -24.246 0.195368 -0.84458 0.229202 -113.773 -6.73838 -3.76896 -2.1042 -5.56986 -1.52868 -5.19545 -1.46318 -0.595835 -7.51976 -5.62373 -7.05714 -51.5948 -4.3051 -140.94 -22.1284 -31.1261 0.139648 0.203795 0.203462 -3.18993 -82.8287 -0.30612 -36.6269 ]
5,32.4129,[0.203428 -2.8154 -2.47031 -109.174 -0.194614 -23.9057 0.222958 -0.531348 -149.842 -20.9166 -74.2318 -17.6652 -14.3112 -12.4226 -134.847 0.859493 -45.3464 -219.935 -100.266 -27.0511 -23.0123 -12.5551 -2.20372 -11.6937 -27.6914 -12.6029 -23.8927 1.22867 -47.6625 -8.90611 ]
6,21.1388,[-3.87076 -1.54172 -4.47959 -18.9603 0.222956 -15.9329 -25.4386 -0.783609 -5.63869 -44.7465 -8.25326 -0.0576477 -43.0162 -172.72 -0.482263 -3.71324 0.427849 -0.0942475 -29.8945 -1.08488 -40.449 -71.0846 -142.188 0.135141 -0.941596 -111.869 -61.5455 -0.995774 -32.3879 -17.4057 ]
7,14.8988,[-32.4119 -11.5022 -33.58 -7.10823 -65.3348 -66.879 -5.20737 -8.06378 -69.6223 -37.5658 -19.9202 -25.3951 -7.82143 -9.47571 -8.96634 -12.2131 -2.96118 -94.5748 -0.721217 -102.983 -2.05303 -10.9128 -48.6706 -57.7031 -57.4462 -22.2372 -0.21301 -2.8731 -30.9601 -81.1024 ]
8,17.6211,[-11.4428 -187.587 -0.0829487 -56.266 -87.613 -1.17032 -40.0687 -46.9644 -49.7162 -0.317427 -5.10633 -2.12061 -4.46702 -39.7844 -14.4084 -76.6178 0.874587 -4.62187 0.566225 -3.26726 -1.8045 -3.81191 0.159863 -9.264 -3.51443 -3.53963 -19.8878 -75.3739 -7.67172 -5.47318 ]
9,10.4595,[-2.26431 -51.8127 -0.273117 -15.9637 -0.57542 -0.889536 0.821411 -2.87363 -0.65662 -5.21241 -21.4523 -9.6601 -1.51358 0.541797 -50.468 -3.88824 -1.71777 -33.106 -21.479 -132.65 -64.9376 -19.4071 0.00341034 -0.674234 -70.4065 -28.1821 -12.77 -45.3251 -3.5449 -2.40884 ]
10,9.55758,[-68.8394 -11.2555 0.242981 -54.7858 -19.2201 -0.768707 -1.45488 -5.49831 -19.7209 -0.607561 -0.669064 -19.4518 -11.0185 0.0626896 0.216562 -24.9881 -0.130883 -1.64966 -3.16624 -63.2407 -78.5536 -14.337 1.6829 -50.1607 0.566417 -3.34498 -46.4941 -1.48095 -96.5766 -6.09967 ]
11,19.355,[-12.8077 -0.0589356 -6.34466 -9.75525 -54.0342 -1.25215 -2.61921 -32.2466 -0.24168 -56.4086 -4.8186 -158.257 -117.288 -1.36735 -9.36423 -0.0477166 -10.6214 -3.76854 -42.6948 -84.1676 -19.5473 -6.25339 -111.919 -51.6703 2.01007 0.0269053 -6.75766 -12.0287 -19.3213 -42.8661 ]
12,22.5932,[-3.33294 -0.187987 -5.29688 -72.7396 0.0726795 0.0716773 -7.54886 -44.2989 -55.1736 -0.133917 -0.280762 -195.81 -2.46374 -25.4646 -2.72292 -33.9122 -0.0324073 -26.5926 -24.1422 -4.99054 1.62777 0.413283 -68.4837 -53.5513 -17.533 -55.3412 -150.476 -1.06982 -30.5875 0.0476131 ]
13,19.6976,[-3.63092 -2.89947 -54.9443 -5.27411 -106.975 -11.0577 -61.8004 -8.32274 -72.1798 -2.93326 -2.88297 -13.4609 -4.13049 1.42583 -10.2238 -6.17444 1.20198 -5.01007 -10.6742 -113.967 -13.2262 -1.36193 -10.7496 -2.7229 -20.5496 -132.429 -138.442 -11.1534 -1.53286 -4.05739 ]
14,30.961,[-16.2434 -0.74527 -174.514 -8.31761 -14.7532 -103.104 -14.7023 -6.21495 -212.973 -6.92191 -77.3802 0.192411 -15.0982 -76.1639 -28.2977 -9.40796 -0.32257 -19.1812 -1.29263 -9.22784 -0.0610609 -87.3681 -3.53733 -9.16025 0.0294701 -11.7953 -105.953 -1.75287 -9.37173 -0.882645 ]
15,7.25862,[-0.456784 -15.7776 -2.17754 -37.3176 -50.0576 -11.1126 -0.608003 -52.2963 -3.74121 -48.4159 -0.0878315 -0.304621 1.03747 -0.376027 -0.110555 -0.175715 -4.65571 -5.33191 -57.4136 -31.5522 -2.33594 -0.899007 -97.2564 0.215637 2.71324 -4.94213 -9.82745 -0.508607 0.381409 -41.5712 ]
16,33.2689,[-2.24854 -12.1518 -13.4658 -1.16435 -4.72763 0.819788 -13.3675 -62.8021 -3.20135 -5.59847 -7.03501 -123.667 -104.6 -0.0751705 -1.4935 -82.7396 -76.2215 -282.703 -0.190624 -0.833631 0.56434 -6.21794 -37.9763 -1.58481 -0.820113 -1.4101 -3.17166 -63.9646 -10.0709 0.0509949 ]
17,6.47025,[-72.6071 -7.97061 -25.0686 -0.0154659 -5.76548 -25.2575 0.362968 -0.32254 -0.93972 -1.57746 -2.77948 -5.31973 -0.79297 -15.0372 -0.13327 -68.0881 -0.319482 -8.45952 -55.7836 -10.0518 -60.2325 -15.1185 -7.07162 -5.94658 -3.50255 -51.5775 -3.91091 -0.769842 -20.3111 -4.04226 ]
