Run#,Result,Solution
22,-11372,[-441.465 -302.035 -450.151 462.27 194.62 -380.255 439.207 -500 476.228 442.628 -494.401 -497.585 -495.569 402.389 -434.188 273.931 -244.797 -420.39 -500 475.265 -241.506 -433.08 -500 -412.445 -388.449 456.798 172.984 -297.731 -293.455 480.694 ]
23,-11547,[86.5984 -408.576 -500 -500 -500 -497.988 -417.807 -212.163 268.18 -167.474 -393.941 390.262 -422.336 -500 478.167 -248.694 -422.665 -226.792 -407.713 -489.821 -485.695 -481.108 -476.007 -374.029 425.528 459.526 490.79 -493.784 406.786 -441.043 ]
24,-10880.1,[-165.821 457.524 -108.929 220.92 466.701 423.22 349.66 -477.824 392.595 -312.614 -366.364 -480.79 499.438 -497.781 474.843 154.613 235.188 -162.234 463.875 422.406 -397.265 -110.748 234.058 471.263 202.43 -418.921 -399.056 351.444 336.997 409.335 ]
25,-10151.2,[179.71 272.669 -336.655 311.811 283.257 -353.933 -461.463 -454.583 -463.609 -456.658 -450.142 -325.72 233.427 106.395 454.17 -236.712 326.911 -442.589 -431.372 -253.187 -422.721 158.035 -160.229 442.805 -109.655 -289.351 -295.793 494.448 -500 -498.163 ]
26,-10758.2,[-500 409.69 337.455 -457.593 287.083 391.834 -416.875 -500 -500 -446.206 -302.047 486.089 -445.059 372.732 242.027 110.274 471.705 438.073 -113.815 -281.747 -290.926 217.114 -420.16 -500 476.397 203.304 467.299 -237.777 345.947 -495.561 ]
27,-10457.2,[444.776 -500 -498.808 169.429 -272.621 395.916 -317.462 345.272 -354.702 353.732 -492.436 -490.521 -396.71 346.232 -480.593 286.061 488.118 460.398 159.428 100.423 458.14 -123.44 84.4088 -409.949 -500 -500 -500 299.309 -406.964 -500 ]
28,-10705.7,[364.303 426.868 425.379 423.741 -404.775 -175.789 461.918 215.508 -462.39 -337.536 229.93 470.034 137.644 239.644 97.5642 437.4 -500 404.07 446.769 -500 400.926 321.638 -445.758 434.531 -476.045 -472.506 -479.731 -484.668 467.308 -468.677 ]
29,-10886.1,[234.887 483.332 451.702 -417.176 -220.874 -171.458 -402.221 404.338 -442.686 -500 -500 39.1853 211.043 -434.606 -421.793 -500 -500 28.0115 -41.5838 448.011 398.665 315.862 -411.989 353.211 -478.568 -482.834 462.242 488.727 -493.777 402.949 ]
30,-10716.1,[99.604 459.646 486.74 -251.643 -438.922 374.098 -303.484 115.423 -403.846 495.103 320.81 -439.014 -447.617 -304.571 -174.716 448.981 485.002 457.041 -110.849 231.452 102.736 451.269 481.03 449.341 479.897 181.998 461.762 488.137 -444.605 -456.093 ]
31,-11314,[330.247 -445.492 -455.21 465.637 -429.454 371.392 246.708 493.398 298.246 322.246 -442.431 -300.736 484.184 457.574 417.806 -456.709 288.811 -290.804 -452.698 441.836 380.639 373.884 -364.56 -471.036 -359.771 413.045 -320.801 232.557 -160.156 456.544 ]
32,-10122,[-34.3282 -500 -500 -412.978 -386.85 334.924 -462.99 478.262 -233.19 184.46 -308.562 -178.356 470.977 -222.501 220.816 475.994 191.902 -434.614 -446.494 278.641 -175.459 -415.18 166.394 -282.847 105.896 463.01 175.707 344.385 -472.935 291.18 ]
33,-11172,[448.891 159.962 244.423 472.806 432.446 369.969 238.158 477.049 443.85 -411.516 145.33 468.504 -470.496 -477.546 -362.705 415.108 351.722 205.564 470.615 171.22 -294.52 479.106 -435.671 -447.492 284.748 -352.071 242.058 470.906 -427.21 -500 ]
