Run#,Result,Solution
1,2492.99,[0.284102 -37.4173 -8.53823 -5.39387 -1.76118 -0.169825 0.233107 -0.104742 -2.68472 -0.0250548 -0.851768 -12.1199 -6.13064 -1.14515 -0.0791926 -5.52625 -0.318418 -0.902847 -4.61384 0.223222 -1.22399 -1.32756 -0.122984 -5.16923 -9.26147 -3.71458 -4.96465 -10.8684 0.0637619 -17.8386 ]
2,1975.84,[-0.224363 -0.856198 0.0390577 -0.216793 -0.31342 -21.9264 -0.785374 -3.64251 -9.97678 -4.32255 -0.121759 -13.786 -0.898633 -0.193822 -10.0713 -0.603071 -0.0243669 0.0247755 -3.26914 0.0852568 -5.7454 -0.00196302 -0.257506 -0.0455483 -8.78979 -16.1658 -10.2432 -11.2088 -17.0344 -3.75468 ]
3,3813.01,[-0.374666 0.0339635 -0.328035 -16.4289 -0.171632 -0.343467 -15.367 -12.9641 -9.52405 -12.9728 -3.90311 -1.54606 -8.80309 -0.361423 -0.699081 -10.0763 -12.2824 -0.545256 -4.37164 0.00348103 -26.531 -18.0029 -0.400529 -0.0407081 -0.53738 -11.7979 -10.7626 -19.4575 -24.3749 -4.54869 ]
4,2488.66,[-0.310349 -0.0828128 -13.6244 -4.37177 -0.204549 0.074759 -0.0948343 -22.9973 -0.747747 -0.00522137 -0.0228124 -0.577057 -0.0542146 -1.31928 -32.3222 -0.725513 0.0316958 -0.051651 -2.03238 -6.75009 -18.2769 -7.69711 -1.1585 -6.72185 -3.68465 -0.076355 -1.49542 -2.05445 -7.37981 -0.383097 ]
5,2405.41,[-0.100664 -8.73343 -1.88194 -12.2796 -1.42446 -7.0337 0.441288 -0.933257 -13.3856 -6.94746 -0.65228 -0.590447 -13.2592 -4.67759 -0.925942 -0.51989 -0.0381856 -2.73972 -19.77 -2.59226 -3.62805 -2.16767 -0.563048 -0.192449 -1.90194 -0.137568 -31.6924 -10.3089 -0.241141 -0.220589 ]
6,2999.77,[-0.33445 -5.93317 -17.8388 0.0669676 -4.01364 -10.8504 -0.266732 0.0669791 -17.7349 -4.11069 -29.1221 -9.17835 -0.275788 -1.17885 -6.59174 0.185009 -0.191059 -24.3194 -1.24655 0.0451603 -0.146069 -9.54015 -0.0637612 -0.39209 -1.42734 -18.3258 -2.00628 -0.660488 -0.464808 -1.23071 ]
7,3476.12,[-0.816944 -0.517504 -8.18404 -0.754969 -13.1331 -2.82458 -37.9602 -4.78786 -0.0585868 -10.6673 -1.72824 -6.50634 -1.63483 -17.572 -1.25581 -0.00452936 -0.0888008 -22.4504 -1.30254 -0.574972 -2.44298 -8.92105 -3.20613 -7.50077 -21.1238 -1.06066 -0.0455455 -0.563073 0.112573 -0.0122672 ]
8,1570.02,[-6.27291 -0.714173 -2.85645 -0.459326 -3.07971 -1.80968 -2.82029 -2.64619 -11.2997 -0.947527 -0.33953 -0.11985 0.0773441 -1.95836 -22.6418 -2.73106 -2.86222 -1.08806 -17.572 -2.45029 -0.677908 -0.615767 -0.318664 -0.442428 -19.6709 -0.440444 -1.58337 -0.257367 -2.58511 -0.567375 ]
9,349.276,[-6.79488 -0.279007 -1.51903 -8.3821 -6.2294 0.0228533 -0.201854 -8.58556 -0.15017 -0.0944056 -0.484806 -5.15696 -0.557255 -0.359504 0.106095 -0.462395 -0.224417 -0.495901 -0.337974 -0.320912 -2.0984 -0.0598384 -0.450371 -4.04565 -1.56203 -2.05723 -1.17006 -0.279123 -0.330388 -0.267914 ]
10,3333.4,[-0.60582 -11.8508 -1.33332 -10.4191 -12.1256 -0.0386034 -1.89487 -0.848949 -0.123713 -0.719261 -39.0573 -1.24864 -0.0040102 -1.60376 -1.6567 -0.971962 -26.7988 -1.72887 -16.4157 -4.39498 -0.0361873 -0.841063 -2.69659 -2.62192 -8.43369 -1.31317 -0.0254759 -5.245 -0.493156 -9.93436 ]
11,3820.77,[0.3116 -0.21692 -13.1308 -5.7427 -18.2419 -8.63169 -9.23935 -6.07412 0.665422 -1.41826 -7.48247 0.18043 0.24731 -5.03696 -32.9788 -1.46037 -7.53262 -0.243651 -24.8758 -4.70501 -1.17067 -8.55078 -0.0732121 -1.03045 0.101837 -28.6287 -4.53909 0.00170022 -1.57859 -9.23208 ]
12,1659.22,[-0.0594854 -0.0793238 -0.258221 -0.470983 -5.4674 0.0441032 -5.63609 -2.22633 -0.173931 -0.151498 -27.7145 -2.97084 -17.4917 -10.7086 -0.218184 -3.71354 -1.82686 -10.7914 0.0870243 -1.36608 -2.40939 -8.8102 -0.471581 0.0209045 -3.02405 0.18159 -6.56086 -0.707359 -0.452053 -0.62766 ]
