Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
basic,-5.59986,-5.28983,1.88067,-10.9379,-2.30982,1827.78
gauss0,3.80814,4.06331,0.943962,1.43118,5.41819,458.68
gauss1,0.735516,0.929011,1.24477,-2.08742,3.29143,395.98
gauss2,-0.0368201,0.0044997,1.12373,-3.73864,2.57455,386.96
gauss3,0.924233,1.07809,1.52058,-2.54995,3.88231,294.4
