Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
0,-4.95839,-5.48258,2.04545,-7.32402,-1.36605,576.1
1,-4.00001,-3.66126,1.61972,-6.8794,-1.29977,495.5
2,-3.97191,-3.82499,0.857973,-5.56571,-2.85454,482.1
3,-6.38171,-6.18596,2.46735,-11.1153,-3.13929,367.8
