Strategy,Mean,Median,Standard Deviation,Range(low),Range(high),Time(mius)
1,3.7,3,4.30465,1,31,385.2
2,11.36,11.5,1.91583,6,15,508.52
3,0.44,0,0.535164,0,2,400.06
4,12.78,12,3.36624,7,20,549.36
5,32.52,32.5,4.39654,23,41,716.4
6,11.46,10,9.32354,2,58,544.94
7,20.24,20.5,2.55781,15,25,752.5
8,0.88,1,0.790949,0,4,567.9
9,22.86,22,7.24157,9,40,816.2
10,55.22,55.5,6.70609,43,71,1099.96
