Strategy,Mean,Median,Standard Deviation,Range(low),Range(high),Time(mius)
1,1.02,1,0.14,1,2,351
2,9.6,9,1.2,7,12,467.32
3,1,1,0,1,1,363.26
4,5.74,6,1.30859,3,8,506.96
5,44.88,45,5.01055,30,56,660.76
6,1.84,2,0.578273,1,3,514.4
7,14.38,15,1.49519,10,17,705.3
8,1,1,0,1,1,532.8
9,4.88,5,1.53154,2,8,763.4
10,83.1,84,8.44097,60,100,1023.44
