Strategy,Mean,Median,Std,Range(low),Range(high),Time(mius)
DE1,0,0,0,0,0,677.1
DE2,70.62,72,10.2662,45,91,908.68
DE3,0,0,0,0,0,709.08
DE4,26.42,24.5,9.02683,16,56,993.34
DE5,2078.28,2093.5,219.837,1522,2649,1279.12
DE6,0.8,1,0.6,0,2,1009.7
DE7,190.68,182,34.7888,115,275,1393.92
DE8,0.02,0,0.14,0,1,1057.42
DE9,27.04,23.5,19.6662,6,111,1520.9
DE10,8135.12,8207.5,963.839,5380,10278,2016.84
