Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
0,-12.1787,-12.1319,0.595564,-13.6186,-10.6919,713.1
1,-12.1136,-11.9621,0.709478,-13.7667,-10.8409,547.84
2,-12.0146,-11.9992,0.516546,-13.173,-10.8267,523.24
3,-10.4586,-10.502,0.80223,-13.421,-8.95079,361.5
