Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
basic,-3.24952,-3.07935,0.471737,-4.84261,-2.61368,2075
gauss0,-3.09135,-3.04168,0.399467,-4.15449,-2.21824,516.92
gauss1,-3.98917,-3.94674,0.473495,-5.03915,-3.16634,429.7
gauss2,-4.20339,-4.08156,0.543363,-5.9579,-3.37735,413.64
gauss3,-3.66577,-3.56542,0.693042,-7.14807,-2.89985,293.74
