Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
0,52.914,54.1444,15.3661,26.1367,101.919,699.48
1,57.8957,55.4115,16.0209,27.2295,95.3853,537.22
2,56.9525,52.4367,17.5652,25.8528,98.2391,518.46
3,55.9931,54.7676,15.6237,31.2825,98.3605,364.92
