Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
0,-7787.61,-7741.24,814.262,-9786.72,-6249.93,655.12
1,-7568.89,-7578.89,675.615,-9800.47,-5732.12,568.78
2,-7735.96,-7421.51,937.25,-10051.6,-6546.12,522.92
3,-6981.12,-6899.8,1029.85,-10495.1,-5067.44,361.9
